manuscript_id,matches
J1372,['F1399A']
J1731,['F1758A']
F154A,['J150']
F1451B,['F1451C', 'F1451A']
F1314B,['F1314C', 'F1314C']
J1169,['F1204A']
J1686,['F1724A']
J1692,['F1726A']
J64,['F162B']
J1141,['F1293A']
F1639B,['J1596']
P96-92,['F1779A', 'J1755']
F1521B,['F1521A']
P91-86,['F1488B.1']
F920A,['J877']
F1183D,['J1229']
F66B,['F66A']
F442B,['SH14-79']
J1770,['F1181A']
F1544B,['J1514']
F1547B,['J1522']
F590A,['J669']
J1764,['F1789A']
F1036A,['J1025']
J1103,['F802A']
F1067A,['J889']
J1117,['F1162A']
J1758,['P96-128']
F1022C,['F1022B']
J1486,['F1527A']
F1357C,['F1357B']
F236A,['P90-50']
F1774A,['P96-18', 'J1711', 'J1711']
J1572,['F1619A']
J1566,['F1626A']
F1671B,['J1640']
F1216B,['F1216A', 'F1216A']
F1213A,['J1224']
F1216C,['J1259']
J1300,['F1339A']
J1288,['F1309A']
F1786B,['J1759', 'F1786A']
F1773A,['J1732', 'P96-13']
F1357B,['F1357C', 'F1357A', 'F1357D']
F1068A,['J949']
F128B,['J79']
F1023A,['J1013']
J1759,['F1786B', 'F1786A']
J1116,['F1138A']
F56A,['J1729']
F1037A,['J1026']
F1074A,['J900']
F2B,['J3']
J1765,['SH14-110', 'F1747A']
F585A,['J1727']
F66A,['F66B']
J1129,['F1263A']
J942,['F921A']
J956,['F915A']
P91-29,['F1540C']
F896A,['J980']
F1184A,['J1214']
J898,['F1080A']
F921A,['J942']
F1318A,['J1326']
J1154,['F1141A']
J63,['F155B']
J1693,['F1709A']
F1456B,['J1409']
F1314C,['F1314B', 'F1314B', 'J1260']
F1451C,['F1451B']
J77,['F144B', 'P91-10']
J1687,['F1686A']
F153B,['J62']
J1730,['F54A', 'F54A']
F1641G,['F1641E']
F1644B,['J1609']
F401A,['J365']
J1724,['F1782A']
F1641E,['F1641G']
J1732,['F1773A', 'P96-13']
J1726,['F1756A']
F1425A,['F1425B']
F148A,['J101']
F152A,['J107']
P96-121,['F1634A', 'J1605']
J61,['F151B']
F1624A,['J1564', 'F1624B']
F1453A,['F1453B']
J1156,['F1191A']
J1719,['F1752A']
