token,count
-",2
1,2
15,1
a,736
a'caper,1
a'nt,1
abased,1
abhor,1
abide,3
abides,1
ability,1
abject,1
able,2
abodes,1
abolish,1
about,4
above,7
abroad,4
abrupt,1
absconded,1
absence,4
absolute,1
absorbed,1
abstinence,1
abundant,1
abyss,1
abyss's,1
acceded,1
accents,2
accept,3
accessible,1
accident,3
accidental,1
acclimated,1
according,1
accost,4
accosts,1
account,1
accredited,1
accustomed,2
ache,2
achieved,2
achievement,1
aching,1
acorn,1
acquaintance,2
acquaintances,2
acquainted,1
acquired,1
acre,2
acres,2
acrid,1
across,5
act,4
action,1
adam,3
adamant,1
adamantine,1
add,1
adder,1
addicted,1
address,1
adds,1
adequate,4
adieu,1
adjective,1
adjoining,1
adjourns,1
adjust,1
adjusted,1
adjusts,2
admiralty,1
admired,1
admiring,1
admitting,1
admonish,1
admonished,1
adoration,1
adore,1
adored,3
adorned,1
adown,1
adroitly,1
adult,1
advance,2
advanced,1
advancing,1
advantage,1
adventures,1
adversity,2
advise,1
advocate,1
afar,1
affair,3
affairs,1
affectingly,1
affection,1
affiance,1
afflicted,2
affliction,1
afflictive,1
affluent,1
afford,1
affords,1
affront,2
affronts,1
afraid,4
afresh,1
after,8
afternoon,6
afterward,3
again,14
against,6
age,2
aged,2
ages,5
aggravate,1
ago,4
agonizing,1
ah,8
aid,1
aim,1
aimed,1
air,26
aisle,1
aisles,1
ajar,2
alabaster,1
alarm,5
alas,1
albums,1
algebra,1
alighting,1
alike,2
alive,5
all,93
allow,2
allured,1
almost,10
alms,2
alone,12
along,7
aloud,1
alphabet,1
alps,4
also,1
alter,2
altered,2
alternating,1
altho,1
although,4
alway,2
always,5
am,22
amazing,1
amber,14
ambuscade,1
amend,1
america,1
amethyst,2
amherst,1
amities,1
among,7
amount,1
ample,6
ampler,1
amply,1
amputate,1
an,102
analyze,1
anatomy,1
ancestor,1
anchors,1
ancient,1
and,621
andes,1
andre's,1
anecdotes,1
anemone's,1
anew,1
angel,3
angels,3
angle,2
angled,1
anguish,12
annealed,1
annihilating,1
annihilation,1
announced,1
annulled,1
anodyne,2
another,11
answer,2
answered,2
answering,1
antelope,1
anthracite,1
antiquated,3
antique,1
antiquity,1
antlers,1
anvil,1
anvil's,1
any,33
anything,1
anywhere,1
apart,1
apartment,1
ape,1
apologize,1
apostle,1
appalling,1
appalls,1
apparatus,1
apparent,1
apparently,1
apparition,1
apparreled,1
appear,4
appears,2
appease,1
appeased,1
appenine,1
applaud,1
applause,1
apple,2
apples,1
application,1
appointed,1
appreciation,1
apprehension's,1
apprenticed,1
approach,2
approached,1
approaching,1
approving,1
april,2
apron,4
aquatic,1
ararat's,1
ararats,1
arbitrate,1
arc,2
arch,1
archer's,1
architect,1
ardent,1
are,85
area,1
argue,1
argues,1
arise,3
aristocrat,1
arks,1
arm,5
arms,3
aromatic,1
around,8
arragon,1
arrange,2
array,3
arrest,2
arrive,1
arrogance,1
arrow,4
arrows,2
art,10
arterial,1
artery,1
artists,1
as,235
ascend,2
ascertain,1
ascetic,1
ashamed,3
ashes,2
ashore,1
aside,1
ask,5
asketh,1
askew,1
aslant,1
asphodel,1
aspiring,1
assassin,1
assault,3
assaulting,1
assemblies,1
assembly,1
assignable,1
assist,1
assistance,1
assisted,2
assisting,1
assists,1
assumption,1
assured,1
assuredly,1
aster,1
astonished,2
astray,1
at,120
atom,1
atom's,1
atone,1
atropos,1
attacks,1
attain,1
attempt,2
attention,1
attention's,1
attitude,2
auctioneer,1
audacity,1
audience,1
audiences,1
aught,1
august,1
augustan,1
aurora,1
auroran,1
austere,2
autumn,4
autumn's,1
auxiliaries,1
auxiliary,1
availed,1
avarice,1
avocation,1
await,1
awaiting,1
awake,4
awarded,1
away,59
awe,6
awes,1
awful,5
awkward,2
axiom,1
axis,2
ayre,1
azure,4
babble,1
babbles,1
back,10
badinage,1
baffle,1
baffled,3
baffles,1
bahamas,1
bailiff,1
bait,1
baize,1
balance,1
balancing,1
bald,1
balking,1
ball,2
ballad's,1
ballet,1
balloon,1
balloons,1
ballots,1
balls,2
balm,5
balms,1
balsam,1
ban,1
