token,count
first,90
unto,90
die,88
eye,85
men,85
sweet,84
these,84
though,84
home,83
bee,82
eyes,82
within,82
look,81
man,81
those,81
put,80
up,80
down,79
make,79
oh,79
last,78
feet,77
let,77
take,76
myself,75
old,75
thy,75
here,74
light,74
am,73
because,73
hand,73
knew,73
mind,72
until,72
flower,71
house,71
own,71
door,69
long,68
new,68
place,68
sky,68
went,68
each,67
once,67
through,67
noon,66
rose,66
said,65
might,64
thing,64
been,63
while,63
world,63
air,62
morning,62
again,61
thought,61
wind,61
find,60
between,59
grave,58
many,58
dead,57
grace,57
i'm,57
two,56
birds,55
fair,55
live,55
paradise,55
small,55
done,54
earth,54
name,54
show,54
pain,53
eternity,52
came,51
friend,51
today,51
play,50
best,49
gone,49
snow,49
fear,48
made,48
none,48
purple,48
since,48
behind,47
further,47
lest,47
much,47
well,47
back,46
even,46
lost,46
most,46
dying,45
heard,45
seen,45
delight,44
dust,44
except,44
good,44
single,44
ear,43
himself,43
tree,43
whom,43
keep,42
makes,42
round,42
told,42
faith,41
fingers,41
immortality,41
side,41
sight,41
better,40
bliss,40
days,40
low,40
think,40
another,39
does,39
joy,39
slow,39
alone,38
beyond,38
care,38
ever,38
fly,38
gold,38
held,38
lie,38
meet,38
nothing,38
rest,38
same,38
things,38
why,38
art,37
easy,37
hill,37
human,37
passed,37
years,37
after,36
hear,36
left,36
morn,36
news,36
perhaps,36
drop,35
going,35
nature's,35
past,35
power,35
whole,35
year,35
bear,34
children,34
grass,34
half,34
i'll,34
least,34
pass,34
saw,34
sleep,34
stand,34
star,34
tune,34
very,34
among,33
comes,33
enough,33
feel,33
give,33
head,33
hour,33
road,33
smile,33
took,33
blue,32
breath,32
hold,32
near,32
need,32
spirit,32
unknown,32
word,32
begun,31
bore,31
father,31
full,31
i'd,31
met,31
simple,31
above,30
ah,30
bright,30
dare,30
divine,30
doth,30
dream,30
felt,30
flowers,30
into,30
over,30
room,30
stop,30
sure,30
true,30
almost,29
bees,29
dew,29
east,29
forgot,29
gain,29
great,29
hands,29
hath,29
ourselves,29
prove,29
red,29
run,29
second,29
sunrise,29
anguish,28
despair,28
few,28
found,28
frost,28
high,28
hills,28
known,28
late,28
mighty,28
set,28
turn,28
yellow,28
ask,27
bells,27
below,27
boy,27
butterfly,27
dark,27
doubt,27
foot,27
gay,27
hair,27
infinite,27
knows,27
land,27
less,27
off,27
right,27
sir,27
skies,27
town,27
wait,27
wear,27
about,26
abroad,26
dawn,26
fit,26
glory,26
goes,26
ground,26
leave,26
lips,26
looked,26
shut,26
softly,26
stars,26
stay,26
stone,26
west,26
white,26
winter,26
wonder,26
angels,25
around,25
cold,25
died,25
dropped,25
forget,25
hope,25
silver,25
sound,25
upon,25
work,25
bold,24
brain,24
child,24
different,24
grew,24
i've,24
indeed,24
leaves,24
lord,24
memory,24
moment,24
moon,24
narrow,24
peace,24
plain,24
secret,24
solemn,24
thine,24
thro,24
yesterday,24
alive,23
call,23
dear,23
dont,23
dwell,23
everlasting,23
fame,23
guess,23
lift,23
lives,23
next,23
often,23
quiet,23
something,23
spring,23
stir,23
sudden,23
sunset,23
there's,23
truth,23
afraid,22
along,22
being,22
both,22
brook,22
close,22
cool,22
fine,22
fire,22
instant,22
midnight,22
miss,22
people,22
perish,22
soft,22
sometimes,22
summer's,22
touch,22
trust,22
universe,22
behold,21
blame,21
brave,21
coming,21
consciousness,21
faces,21
jesus,21
lady,21
lay,21
life's,21
pearl,21
privilege,21
short,21
size,21
tho,21
try,21
want,21
afternoon,20
amber,20
ample,20
bring,20
choose,20
common,20
distance,20
distant,20
evening,20
forehead,20
gown,20
grow,20
guest,20
hat,20
june,20
mean,20
music,20
nought,20
part,20
pray,20
return,20
robin,20
sigh,20
stood,20
twere,20
warm,20
whether,20
bloom,19
breast,19
centuries,19
chance,19
cheek,19
countenance,19
crown,19
deep,19
early,19
fate,19
grief,19
happy,19
herself,19
others,19
prayer,19
recollect,19
remember,19
seems,19
soon,19
stands,19
transport,19
trees,19
window,19
winds,19
witness,19
always,18
awe,18
awful,18
bone,18
borne,18
content,18
creature,18
deity,18
doom,18
easier,18
fail,18
golden,18
got,18
help,18
kept,18
larger,18
march,18
mortal,18
nay,18
neighbor,18
nest,18
o'er,18
remain,18
seek,18
turned,18
walk,18
against,17
beauty,17
believe,17
cloud,17
flesh,17
force,17
gave,17
given,17
hide,17
holds,17
laid,17
looking,17
loss,17
nearer,17
our's,17
price,17
quick,17
rather,17
seemed,17
sign,17
silence,17
stopped,17
stranger,17
sum,17
superior,17
surprise,17
timid,17
tomb,17
tongue,17
touched,17
twould,17
vain,17
victory,17
voice,17
water,17
begin,16
break,16
butterflies,16
cease,16
color,16
creatures,16
crowd,16
daisy,16
deem,16
eden,16
existence,16
fell,16
finished,16
garden,16
green,16
grown,16
holiday,16
houses,16
instead,16
large,16
liberty,16
lies,16
lightning,16
melody,16
neither,16
numb,16
parting,16
passing,16
pretty,16
queen,16
read,16
realm,16
rise,16
scene,16
seasons,16
setting,16
sing,16
south,16
step,16
straight,16
themselves,16
times,16
twice,16
vision,16
wake,16
weary,16
wont,16
woods,16
asked,15
beneath,15
boys,15
ceased,15
company,15
count,15
cross,15
crumb,15
fall,15
fashioned,15
fellow,15
firmament,15
grows,15
hast,15
heavenly,15
keeps,15
notice,15
perfect,15
present,15
quite,15
reach,15
sake,15
skill,15
son,15
speech,15
street,15
strong,15
suffice,15
that's,15
therefore,15
vast,15
wings,15
wo,15
also,14
balm,14
beggar,14
belief,14
beloved,14
blossom,14
breeze,14
bride,14
buy,14
called,14
circumference,14
death's,14
degree,14
drew,14
else,14
end,14
feels,14
finer,14
gate,14
get,14
girl,14
glass,14
hurt,14
lip,14
lived,14
looks,14
north,14
ones,14
ourself,14
perished,14
please,14
poor,14
precisely,14
reply,14
robins,14
royal,14
seed,14
shame,14
sovreign,14
storm,14
suspect,14
syllable,14
toward,14
village,14
ago,13
become,13
beside,13
born,13
brief,13
broke,13
busy,13
bye,13
change,13
departed,13
doubtless,13
due,13
dull,13
estate,13
failed,13
figure,13
forever,13
former,13
glow,13
grand,13
hight,13
hundred,13
immortal,13
journey,13
led,13
living,13
lose,13
mountain,13
mountains,13
mystery,13
nobody,13
presence,13
push,13
renown,13
sand,13
saved,13
scarlet,13
sense,13
shy,13
smaller,13
start,13
state,13
sufficient,13
talk,13
taste,13
taught,13
under,13
used,13
waters,13
wilderness,13
wine,13
words,13
worn,13
across,12
act,12
answer,12
april,12
ball,12
bed,12
blood,12
bobolink,12
book,12
celestial,12
conviction,12
country,12
decay,12
difference,12
dumb,12
earn,12
equally,12
esteem,12
estimate,12
extasy,12
faint,12
fill,12
firm,12
floor,12
foreign,12
glad,12
glee,12
grant,12
heavens,12
hid,12
honor,12
judgment,12
king,12
knowing,12
lead,12
loved,12
maid,12
majesty,12
meadow,12
minor,12
misery,12
names,12
nerve,12
note,12
obtain,12
opposite,12
pause,12
perceive,12
pink,12
possibly,12
poverty,12
ring,12
scarce,12
service,12
shore,12
smallest,12
solid,12
somewhat,12
stately,12
suit,12
together,12
tomorrow,12
tried,12
trouble,12
twill,12
wherefore,12
woman,12
women,12
you'll,12
ashamed,11
autumn,11
beautiful,11
blossoms,11
bonnet,11
bosom,11
broad,11
certain,11
climb,11
clouds,11
clover,11
conscious,11
curious,11
daily,11
daisies,11
denied,11
difficult,11
dim,11
does'nt,11
drink,11
ecstasy,11
emerald,11
exist,11
fact,11
final,11
gaze,11
hell,11
hours,11
however,11
imperial,11
intimate,11
lain,11
laugh,11
learned,11
letter,11
limit,11
loneliness,11
lover,11
meek,11
mistake,11
native,11
nights,11
odd,11
open,11
patient,11
pay,11
praise,11
remembered,11
satin,11
scant,11
school,11
speak,11
spurn,11
steady,11
stem,11
strove,11
tears,11
three,11
time's,11
tint,11
tonight,11
triumph,11
unconscious,11
velvet,11
wheel,11
windows,11
wise,11
wish,11
wore,11
worm,11
worth,11
abode,10
acre,10
ages,10
alarm,10
besides,10
blind,10
blow,10
brooks,10
build,10
bumble,10
calvary,10
cause,10
contented,10
crescent,10
cup,10
danger,10
date,10
departing,10
desert,10
diadem,10
empty,10
etherial,10
everywhere,10
faded,10
familiar,10
flee,10
fleet,10
follow,10
forests,10
freight,10
gathered,10
general,10
giant,10
hang,10
heads,10
host,10
hue,10
hungry,10
infinity,10
kind,10
later,10
learn,10
line,10
lonesome,10
loving,10
merry,10
miles,10
miracle,10
morning's,10
noise,10
orchard,10
pane,10
period,10
pillow,10
plush,10
presume,10
question,10
rain,10
ran,10
rare,10
repose,10
riches,10
rooms,10
runs,10
saints,10
sent,10
shows,10
silent,10
slowly,10
smiling,10
spare,10
spoke,10
stare,10
stooping,10
suddenly,10
suns,10
sunshine,10
surmise,10
table,10
takes,10
thyself,10
tight,10
tired,10
understand,10
vitality,10
wealth,10
wide,10
wild,10
wood,10
abide,9
adamant,9
adequate,9
affair,9
agony,9
alas,9
although,9
arm,9
awake,9
balls,9
barefoot,9
begins,9
bell,9
berry,9
blank,9
blaze,9
block,9
brown,9
burn,9
cant,9
chamber,9
charge,9
chose,9
circumstance,9
defeat,9
dews,9
diviner,9
dominion,9
dower,9
dress,9
dry,9
ease,9
either,9
entertain,9
escape,9
expectation,9
faithful,9
fan,9
feathers,9
features,9
fields,9
flake,9
flight,9
fling,9
food,9
forgive,9
friends,9
frosts,9
furthest,9
future,9
ghost,9
gratitude,9
hay,9
hearts,9
homely,9
interrupt,9
interview,9
justified,9
justify,9
katie,9
lid,9
martial,9
means,9
mention,9
mostly,9
moved,9
ne'er,9
offer,9
one's,9
orchards,9
pencil,9
perpetual,9
plan,9
pleasure,9
possibility,9
preferred,9
rank,9
remote,9
reverse,9
rich,9
ride,9
river,9
sacrament,9
salute,9
scarcely,9
seas,9
secrets,9
seldom,9
sepulchre,9
shone,9
sod,9
somewhere,9
sort,9
souls,9
spot,9
spotted,9
squirrel,9
stirred,9
story,9
superfluous,9
suppose,9
supreme,9
suspense,9
sweeter,9
tale,9
teach,9
test,9
themself,9
they're,9
thirst,9
tim,9
treason,9
turns,9
utmost,9
vail,9
value,9
waiting,9
wall,9
woe,9
your's,9
yourself,9
accident,8
accustomed,8
advance,8
affliction,8
affront,8
anybody,8
apple,8
arms,8
array,8
attempt,8
bars,8
belong,8
big,8
body,8
boldly,8
breaking,8
broken,8
brow,8
carried,8
cautious,8
church,8
circuit,8
contain,8
creation,8
cricket,8
darkness,8
departure,8
diamonds,8
disclosed,8
docile,8
drums,8
drunken,8
earl,8
endure,8
equal,8
esteemed,8
everything,8
exists,8
experience,8
experiment,8
fashion,8
feather,8
feeling,8
film,8
fitted,8
fled,8
fond,8
forces,8
forfeit,8
fresh,8
gained,8
gentle,8
giants,8
girls,8
god's,8
haply,8
harm,8
hint,8
history,8
homesick,8
