token,count,works
"the",1961,513
"fingers",7,7
"of",674,355
"light",33,30
"tapped",1,1
"soft",7,7
"upon",85,76
"town",11,9
"with",214,165
"“i",6,5
"am",27,21
"great",12,11
"and",693,323
"cannot",39,35
"wait",15,14
"so",183,130
"therefore",4,4
"let",37,32
"me",191,132
"in",436,271
"“you’re",1,1
"soon,”",1,1
"replied",1,1
"“my",4,3
"faces",11,11
"are",117,83
"asleep",3,3
"but",262,197
"swear",2,2
"i",505,203
"will",73,55
"you",125,64
"by",144,106
"not",305,201
"wake",4,3
"them",29,24
"up.”",1,1
"easy",13,13
"guest",7,7
"complied",2,2
"once",32,27
"within",31,30
"transport",7,7
"his",196,118
"countenance",5,5
"awakened",1,1
"maid",4,4
"man",32,30
"neighbor",8,8
"pool",3,3
"hip",1,1
"elate",2,2
"made",10,10
"loud",3,3
"obeisance",2,2
"gnat",4,3
"held",12,11
"up",25,25
"cup",4,4
"for",257,191
"birds",21,20
"begun",13,12
"at",124,100
"four",5,5
"o'clock—",1,1
"their",63,49
"period",4,4
"dawn—",1,1
"a",859,361
"music",6,6
"numerous",1,1
"as",314,184
"space",3,3
"measureless",1,1
"noon",19,17
"could",81,60
"count",6,5
"force",7,6
"voices",1,1
"did",43,40
"expend",1,1
"brook",7,4
"bestows",2,2
"itself",33,30
"to",746,347
"magnify",1,1
"pond",3,3
"listener",1,1
"was",195,128
"none",17,17
"except",12,12
"occasional",7,5
"homely",2,2
"industry",2,2
"arrayed",1,1
"overtake",1,1
"morn",11,10
"nor",58,37
"it",431,209
"applause",1,1
"that",459,274
"ascertain",4,4
"independent",2,2
"ecstasy",6,6
"universe",6,6
"men",23,22
"six",1,1
"flood",2,2
"had",96,64
"done",11,11
"no",111,91
"tumult",1,1
"there",79,65
"been",19,19
"dressing",1,1
"or",169,116
"departure",3,3
"yet",40,31
"all",112,100
"band",3,3
"gone",14,13
"sun",50,44
"engrossed",2,2
"east",12,11
"day",70,61
"controlled",2,2
"world",21,20
"miracle",5,5
"introduced",2,2
"forgotten",4,4
"fulfilled",1,1
"pattern",5,5
"can",54,49
"fit",4,4
"him",89,74
"alone",11,10
"sheen",4,4
"must",43,37
"have",81,65
"disk",2,2
"be",213,154
"help",8,7
"another",17,17
"your",45,27
"prayers",1,1
"oh",34,33
"passer-by",1,1
"from",123,100
"such",38,32
"common",5,5
"ball",3,3
"this",157,109
"might",19,16
"date",4,4
"victory",1,1
"marshalings",1,1
"simple",8,8
"flags",1,1
"nations",3,3
"swang",1,1
"steady",2,2
"my",219,126
"soul—what",1,1
"issues",1,1
"thine",12,10
"arrow",3,3
"hang",5,5
"when",171,123
"seen",11,11
"emerge",2,2
"amazing",1,1
"house",23,22
"leave",7,7
"every",43,40
"door",20,19
"deed",3,3
"place",20,19
"without",42,38
"incident",1,1
"fame",13,12
"accident",4,4
"noise",3,3
"earth",19,18
"has",66,59
"seemed",6,6
"drum",1,1
"pursued",1,1
"little",63,51
"boys",5,5
"how",95,70
"good",10,9
"lava",1,1
"bed",3,3
"laborious",1,1
"boy",15,13
"who",75,62
"call",11,11
"dress",4,4
"sleepy",2,2
"saw",13,12
"sunrise",5,5
"say",26,20
"’twould",2,2
"guess",10,9
"seeing",1,1
"loss",3,3
"ability",1,1
"emigrant",1,1
"is",473,258
"afflicted",1,1
"blindness",1,1
"beheld",3,3
"blest",1,1
"find",15,14
"its",92,63
"eye",30,27
"morning",12,12
"comes",12,12
"considers",1,1
"coming",7,7
"twice",7,6
"two",25,23
"dawns",2,2
"single",19,19
"make",27,25
"life",44,38
"sudden",6,6
"price",8,7
"one",95,76
"on",145,114
"tare",1,1
"he",134,86
"doth",9,9
"punctual",2,2
"conscientious",2,2
"flower",26,19
"estimates",2,2
"bird",25,23
"prance",1,1
"bee",28,26
"play",16,15
"ran",2,2
"miles",2,2
"away",56,50
"blind",4,4
"joy",17,15
"choose",5,5
"between",20,19
"holiday",2,2
"meadows",2,2
"out",31,29
"fences",1,1
"ran—",1,1
"republic",1,1
"delight",22,22
"thought",16,15
"where",34,26
"each",26,22
"citizen",5,5
"heavy-laden",1,1
"lands",3,3
"thee",74,54
"were",77,62
"seas",3,3
"cross",6,6
"come",32,29
"caspian",3,3
"crowded—",1,1
"too",73,57
"near",7,7
"thou",32,23
"art",8,8
"fog",2,1
"contested",1,1
"government",1,1
"took",17,16
"down",18,18
"yellow",9,8
"whip",1,1
"drove",3,3
"sufficient",7,7
"if",156,106
"others",9,9
"want",5,4
"see",36,32
"window",5,5
"panes",1,1
"some",42,38
"hours",4,4
"compensation—",1,1
"holds",11,10
"large",6,6
"glow",7,7
"squirrel",4,4
"himmaleh",2,2
"precisely",6,5
"hinge",1,1
"evening",10,10
"folding",1,1
"compelling",1,1
"sill",4,4
"till",55,50
"ajar",1,1
"rests",1,1
"night",32,29
"shining",5,5
"nature",44,39
"rest",11,11
"while",25,24
"go",42,36
"cloud",7,6
"withdrew",2,2
"sky",21,20
"superior",6,6
"glory",9,8
"auxiliaries",1,1
"forever",4,2
"lost",13,13
"further",16,13
"scanned",4,4
"secured",1,1
"an",143,113
"hermetic",1,1
"memory",9,9
"availed",1,1
"now",42,39
"never",65,54
"pass",6,6
"angel",3,3
"glance",2,2
"bow",2,2
"firm",3,3
"heaven",36,25
"intention",1,1
"curious",3,3
"surprised",1,1
"twas",24,21
"like",93,77
"sheet",3,2
"horns",1,1
"blue",7,6
"antlers",1,1
"gray",1,1
"almost",8,8
"touched",4,4
"lawns",1,1
"low",12,12
"leaned",1,1
"then",98,78
"statelier",2,2
"drew",4,4
"trailed",1,1
"robes",1,1
"away—",1,1
"queen",5,5
"adown",1,1
"satin",4,4
"aisle",1,1
"majesty",2,2
"south",5,5
"wind",23,19
"pathos",2,2
"individual",1,1
"voice",9,9
"detect",2,2
"landings",1,1
"emigrant’s",1,1
"address",1,1
"hint",3,3
"ports",1,1
"peoples",1,1
"much",19,19
"understood",2,2
"fairer",2,2
"farness",1,1
"foreignhood",1,1
"quiet",5,5
"seeming",1,1
"harm",4,4
"setting",9,9
"strayed",1,1
"accidental",1,1
"red",7,6
"strolling",1,1
"hue",4,4
"would",86,69
"said",22,21
"westward",1,1
"began",2,2
"jar",2,2
"houses",2,2
"vanished",3,3
"roar",1,1
"human",16,15
"hid",4,4
"we",181,113
"comprehended",2,2
"awe",6,6
"those",42,34
"dissolution",2,2
"warrant",4,4
"wild",4,4
"abreast",1,1
"winds",7,7
"threatened",2,2
"run",16,16
"crouched",1,1
"behind",19,18
"sat",1,1
"defiant",1,1
"sun—",2,2
"conflict",1,1
"upper",2,2
"friends",2,2
"genial",1,1
"main",2,2
"deplore",1,1
"peculiarly",1,1
"arrogant",1,1
"campaign",11,8
"lightning",8,7
"fork",1,1
"tables",1,1
"inadvertent",1,1
"dropped",8,8
"awful",11,11
"cutlery",2,2
"mansions",4,2
"quite",6,5
"disclosed",3,3
"concealed",2,2
"apparatus",1,1
"dark",9,9
"ignorance",2,2
"revealed",1,1
"playeth",1,1
"singeth",1,1
"ourselves",11,9
"conscious",4,4
"exist",4,4
"approach",3,3
"stern",2,2
"insulators",1,1
"glove",2,2
"whose",24,18
"short",10,9
"sepulchral",2,2
"bass",2,2
"alarms",1,1
"us",67,54
"though",39,36
"feet",20,18
"may",57,48
"counterpass",1,1
"ropes",1,1
"above",17,15
"our",76,60
"head",11,11
"continual",4,3
"news",12,8
"check",1,1
"speech",2,2
"stop",12,11
"rain",6,5
"sounded",1,1
"curved",1,1
"knew",26,25
"walked",2,2
"wet",1,1
"any",33,28
"wave",1,1
"swept",3,3
"dry",3,3
"sand",5,5
"pushed",4,4
"remotest",2,2
"plain",8,8
"hosts",1,1
"heard—",1,1
"indeed",14,13
"filled",2,2
"wells",2,2
"pleased",1,1
"pools",2,2
"warbled",1,1
"road",11,10
"pulled",1,1
"spigot",1,1
"hills",6,6
"floods",3,3
"abroad",8,8
"loosened",1,1
"acres",2,2
"lifted",3,3
"sites",1,1
"centers",1,1
"stirred",3,3
"elijah",1,1
"rode",2,2
"wheel",3,3
"northern",1,1
"things",16,16
"piled",1,1
"bent",2,2
"unto",33,31
"west",9,9
"opening",5,5
"mouth",2,2
"divisions",1,1
"devour",1,1
"everything",3,3
"corners",2,2
"slunk",1,1
"power",9,9
"chambers",2,2
"went",20,19
"ventured",2,2
"her",150,81
"subjects",4,4
"scattered",4,3
"into",7,7
"systems",2,2
"ranged",1,1
"about",11,11
"again",23,21
"smoke",3,3
"dwellings",1,1
"rose",21,18
"heard",15,13
"intimate",6,6
"tempest",2,2
"past",9,9
"barricade",1,1
"against",7,7
"martial",5,5
"trees",4,4
"withdraw",1,1
"flag",1,1
"turn",11,11
"armies",3,3
"more",54,52
"what",74,53
"russet",3,3
"halts",2,2
"nature’s",5,5
"march",4,4
"they",96,66
"indicate",4,4
"cause",6,6
"inference",2,2
"mexico",1,1
"effaces",2,2
"surmise",7,7
"recurrent",1,1
"after",16,16
"mind",28,26
"massacre",2,2
"air",19,16
"wound",3,2
"scar",1,1
"holidays",1,1
"war",3,3
"called",7,5
"sunset",11,9
"someone",5,5
"only",36,31
"amber",7,7
"farm",4,3
"just",66,53
"herd",3,2
"opal",2,1
"cattle",4,2
"feeding",1,1
"far",34,28
"vain",7,7
"hill",11,10
"even",14,14
"looked",11,7
"dissolved",2,2
"soil",4,4
"stead",2,2
"sea",27,23
"displayed",3,3
"ships",1,1
"size",10,8
"crew",3,3
"mountains",5,5
"afford",3,3
"decks",1,1
"seat",1,1
"skies",5,5
"showman",1,1
"rubbed",1,1
"mediterranean",1,1
"that's",3,3
"battle",3,3
"burgoyne",1,1
"over",17,10
"time",33,32
"beast",2,2
"put",20,18
"work",13,11
"“sunset”",2,2
"sounds",2,2
"majestic",1,1
"solemn",4,4
"comprehend",4,4
"chastened",1,1
"stare",2,2
"“red",1,1
"sea,”",1,1
"indeedl",1,1
"talk",4,4
"purple",12,11
"pharaoh",1,1
"navy",1,1
"pierce",1,1
"columns",1,1
"through",24,21
"guileless",2,2
"fine",5,5
"along",7,7
"line",8,8
"js",1,1
"marine",1,1
"divine",9,9
"inquires",1,1
"sigh",4,4
"should",30,25
"big",6,6
"exultation",2,2
"woe",8,8
"wine",4,4
"fatiguel",1,1
"carries",1,1
"lets",6,6
"screens",1,1
"reveals",1,1
"enhancing",1,1
"menaces",1,1
"amethyst",2,2
"moats",1,1
"mystery",5,5
"lilac",3,2
"ancient",1,1
"shrub",1,1
"ancienter",1,1
"than",77,63
"firmamental",1,1
"tonight",3,3
"subsiding",1,1
"course",2,2
"bequeathes",1,1
"final",8,8
"plant",2,2
"contemplation—not",1,1
"touch—",1,1
"occident",2,2
"corolla",2,2
"calyx",1,1
"capsule's",1,1
"burnished",2,2
"seeds",3,3
"stars",9,9
"scientist",1,1
"faith",14,14
"research",1,1
"synthesis",1,1
"flora",1,1
"unimpeachable",1,1
"time's",4,4
"analysis",2,2
"hath",5,5
"possibly",4,4
"current",1,1
"revelation",3,3
"theses",1,1
"detained",2,2
"kept",9,8
"stooping",3,2
"meet",10,10
"side",15,12
"transaction",1,1
"repose",5,5
"deeper",3,2
"grew",12,12
"stain",5,5
"pane",5,5
"thicker",3,2
"stood",7,7
"until",27,24
"tyrian",1,1
"crowded",1,1
"dense",1,1
"gay",6,6
"brigadier",1,1
"felt",11,11
"stirrings",1,1
"cockade",1,1
"wore",5,5
"charged",2,2
"chimney",5,4
"corner—",1,1
"nobody",3,3
"stopped",4,3
"cottages",3,2
"hence",1,1
"treason",3,3
"life’s",4,4
"westerly",1,1
"today",13,12
"difference",6,6
"mak'st",1,1
"supercilious",1,1
"whole",13,13
"gulfs",1,1
"fleets",1,1
"crews",1,1
"solid",6,6
"blood",6,6
"twere",2,2
"signal",3,3
"ground",6,6
"appointed",2,2
"creatures",6,6
"authorized",2,2
"arrays",1,1
"due",5,5
"promptly",1,1
"drama",3,3
"bows",1,1
"disappears",2,2
"color",4,3
"this—",2,2
"beryl",1,1
"auroran",1,1
"widths",1,1
"fling",5,5
"suddenly",3,3
"tis",39,31
"witchcraft—nature",1,1
"iodine",2,2
"sweet",30,28
"ye",2,2
"tell",41,31
"lie",10,10
"deny",3,3
"fly",12,12
"same",19,18
"unvarying",1,1
"eyes",17,17
"fail",4,4
"feign",1,1
"take",23,21
"royal",4,3
"names",2,2
"slow",11,11
"violet",2,2
"gaze",3,3
"strong",5,4
"madonnas",1,1
"cherish",1,1
"still",22,21
"wayward",1,1
"nun",1,1
"beneath",7,7
"service",8,7
"latest",3,3
"worship",2,2
"fades",1,1
"firmament",5,4
"lift",10,10
"brows",2,2
"haze",1,1
"valleys",2,2
"below",10,10
"waited",1,1
"liked",1,1
"river",1,1
"leisure",3,3
"interests",1,1
"fire",7,7
"remark",2,2
"withdrawn",3,3
"twilight",3,3
"spoke",4,4
"spire",1,1
"scene",8,8
"act",4,4
"fell",4,4
"neighborly",2,2
"thing",22,19
"invisible",2,2
"willing",1,1
"lid",5,5
"o’er",2,2
"weary",4,4
"leans",1,1
"remains",2,2
"balcony",1,1
"fading",3,3
"darkness",3,3
"dips",1,1
"half",9,7
"complexion",1,1
"hindering",1,1
"haunting",1,1
"perishing",3,3
"rallies",2,2
"dying",22,18
"friend",23,20
"teasing",1,1
"glittering",3,3
"amend",1,1
"aggravate",1,1
"expiring",1,1
"perfect",5,5
"look",28,27
"moved",4,4
"axles",1,1
"hoist",1,1
"themselves",8,7
"hated",3,2
"motion",1,1
"told",13,13
"soul",39,30
"use",1,1
"played",2,2
"came",13,13
"again—",3,3
"sight",9,8
"moon",7,6
"haste",1,1
"express",2,2
"around",11,11
"zones",1,1
"paradise",23,22
"lord",9,8
"burned",1,1
"north",3,3
"do",57,50
"concentrate",1,1
"glowworms",1,1
"flee",8,8
"poor",6,5
"hindered",2,2
"hunted",3,3
"day—",2,2
"candle",1,1
"entertains",1,1
"entirely",4,4
"rises",3,3
"passes",2,2
"inscribes",1,1
"cajoles",1,1
"moment",10,10
"spires",2,2
"infinite",11,11
"blaze",2,2
"falling",1,1
"sparks",1,1
"reveal",3,3
"width",4,4
"burned—",1,1
"territory",3,3
"argent",1,1
"consumed",1,1
"winged",1,1
"spark",3,3
"soar",2,2
"met",12,11
"oft",4,4
"mistook",1,1
"nights",3,3
"hot",1,1
"sere",4,4
"twinkling",1,1
"travels",1,1
"pursues",1,1
"haunts",2,2
"men—",1,1
"speck",1,1
"rapture",4,4
"first",43,39
"perceived",1,1
"feeling",6,6
"watched",2,2
"she",59,32
"stopped—a",1,1
"traveler’s",1,1
"privilege—",1,1
"thereupon",1,1
"gazed",1,1
"stranger",10,8
"lady",9,9
"think",14,14
"incivility",1,1
"glass",5,5
"justified",2,2
"curiosity",3,3
"mine",32,28
"foot",9,8
"hand",25,23
"formula",1,1
"guillotine",1,1
"slid",1,1
"carelessly",1,1
"sustain",2,2
"stemless",1,1
"upheld",1,1
"rolling",1,1
"finer",4,4
"gravitations",1,1
"bind",2,2
"philosopher",3,3
"hunger",2,2
"inn",5,5
"toilette",1,1
"suffice",6,6
"avocation",1,1
"concern",4,4
"mysteries",1,1
"harass",3,3
"us—like",1,1
"death",50,40
"afterward",1,1
"nay—",1,1
"absolute",3,3
"privilege",6,6
"scrutinize",2,2
"scarce",4,4
"silver",6,6
"practice",2,2
"vaulted",1,1
"next",2,2
"myself",22,20
"follow",3,3
"advantage",1,1
"lit",1,1
"star",4,4
"bright",6,6
"descried",2,2
"distant",4,4
"traveler",3,3
"magic",4,4
"perpendiculars",1,1
"ascending",1,1
"terrene",1,1
"unknown",11,11
"shimmering",1,1
"ultimate",2,2
"indorsed",1,1
"’tis",15,12
"spend",2,2
"here",29,25
"height",5,5
"barometer",1,1
"airs",1,1
"expectation",1,1
"breathes",1,1
"takes",1,1
"prime",3,3
"distance",7,7
"delights",3,3
"confides",1,1
"visit",2,2
"mighty",15,15
"feel",15,12
"morns",1,1
"encamping",1,1
"thousand",4,4
"espousing",1,1
"spurning",1,1
"soaring",2,2
"turret",3,2
"tall",3,3
"pompous",2,2
"noons",1,1
"stepping",1,1
"incorporeal",1,1
"tunes",2,2
"correcting",1,1
"errors",1,1
"skirmishing",1,1
"scenery",1,1
"lonesome",5,5
"people",7,7
"lights",1,1
"closes",2,2
"shutter",1,1
"goes",9,9
"1",11,10
"different",18,17
"version",7,7
"order",2,2
"stanzas",3,3
"reversed",3,3
"lay",7,7
"days",12,11
"before",24,24
"here—",2,2
"grains",1,1
"shore",2,2
"imperceptible",1,1
"note",6,6
"round",12,10
"year",11,11
"snow",15,13
"drifts—",1,1
"transient",1,1
"fragrant",1,1
"year—",1,1
"softly",8,8
"driving",1,1
"thorough",1,1
"tree",9,9
"february’s",1,1
"self",2,2
"experience",3,3
"winter",8,7
"face",39,35
"former",6,6
"repaired",1,1
"loneliness",4,2
"nature's",7,7
"alibi",1,1
"storm",3,3
"spice",1,1
"value",3,3
"buy",5,5
"contrast—pang",1,1
"notice",5,5
"spring",9,8
"month",1,1
"heart",44,35
"thy",31,28
"hoary",3,3
"rosy",1,1
"chair",3,3
"flowers",11,8
"keep",12,12
"enamor",1,1
"care",9,9
"salary",1,1
"longest",4,4
"nothing",14,13
"bier",1,1
"suppose",6,5
"come—",3,2
"aid",2,2
"coming!—",1,1
"crowd",4,4
"booming",1,1
"hinder",4,4
"little—",1,1
"corn",3,3
"silk",1,1
"chintz",1,1
"apple",2,2
"believe",9,9
"jay",2,2
"giggle",1,1
"new",20,18
"white",4,4
"earth—",1,1
"halt",2,2
"god",33,27
"among",8,7
"other",51,43
"seasons",9,9
"himself",15,15
"abide",4,4
"during",3,3
"april",11,11
"stir",8,8
"cordial",2,2
"interview",4,4
"unmoved",3,3
"old",26,21
"desire—",1,1
"hurry",3,2
"lingering",1,1
"mixed",2,2
"fair",17,17
"competition",1,1
"sense",6,6
"something",9,9
"vanishes",1,1
"remorse",1,1
"senses—though",1,1
"perhaps",15,14
"well",15,13
"they're",1,1
"home",28,24
"madness",2,2
"liable",1,1
"them—",1,1
"heads—",1,1
"blind!—",1,1
"utterly",1,1
"summer",38,32
"few",7,6
"believed",1,1
"aspiring",1,1
"unquestionably",1,1
"loved",6,4
"does",13,13
"spacious",4,4
"way",32,28
"eligible",2,2
"extremity",1,1
"created",2,2
"adore",4,4
"affluence",1,1
"bestowed",3,3
"embryo",3,3
"endowed",2,2
"prepared",2,2
"show",15,14
"which",50,37
"ticket",1,1
"simplest",1,1
"witness",7,6
"pomp",1,1
"washed",2,2
"planks",1,1
"sailed",2,2
"captain",1,1
"butterfly",5,5
"helmsman",1,1
"entire",3,3
"delighted",1,1
"these",22,20
"fevered",1,1
"forest",1,1
"waters",3,3
"cool",5,5
"mosses",1,1
"crawl",3,3
"shade",3,3
"devastates",1,1
"stillness",2,2
"seems",7,7
"sometimes",10,9
"prize",3,3
"treasurers",1,1
"instructs",2,2
"recognition",4,3
"lazy",1,1
"bestirs",2,2
"puts",1,1
"coat",4,4
"scans",1,1
"fatal",1,1
"promptness",1,1
"trains",1,1
"unconscious",1,1
"smartness",1,1
"warning",1,1
"spy—",1,1
"shorter",5,4
"breath",7,7
"stealing",1,1
"stealth",2,2
"symptom",2,2
"sound",7,7
"smile",13,13
"throe",2,2
"summer’s",2,2
"assemblies",1,1
"entrancing",1,1
"end",6,6
"times",5,5
"estranged",3,3
"however",5,4
"intimate—",1,1
"dissembling",2,2
"september’s",1,1
"baccalaureate",1,1
"combination",1,1
"crickets",1,1
"crows",1,1
"retrospects",1,1
"breeze",5,5
"hints",1,1
"assuming",1,1
"innuendo",1,1
"makes",15,15
"fun",1,1
"2",4,3
"published",15,15
"youth's",3,3
"companion",4,4
"september",2,2
"29",1,1
"1892",1,1
"abolish",1,1
"frost",11,10
"cease",3,3
"perish",12,12
"prevail",3,3
"optional",2,2
"pungent",3,3
"atom",4,4
"admits",2,2
"debate",2,2
"named",1,1
"relinquished",1,1
"estate",22,19
"department",1,1
"positive",3,3
"limit",2,2
"dominion",5,5
"dams",1,1
"name",24,24
"autumn",1,1
"artery",3,3
"vein",3,3
"globules",1,1
"alleys",1,1
"shower",1,1
"upset",1,1
"basin",1,1
"spill",2,2
"scarlet",4,4
"rainl",1,1
"sprinkles",1,1
"bonnets",1,1
"gathers",1,1
"ruddy",2,2
"eddies",2,2
"vermilion",4,4
"wheels",3,3
"8",9,7
"poem",26,18
"youth’s",1,1
"189a",1,1
"last",30,27
"“and",1,1
"leaves",8,8
"hills.”",1,1
"products",2,2
"own",15,15
"benefit",1,1
"neighbor’s",1,1
"bin",1,1
"harvest",2,2
"frosts",3,3
"begin",4,4
"reverse",6,6
"zodiac",1,1
"fetch",3,2
"verdure",1,1
"proffered",1,1
"winter’s",1,1
"fracture",3,3
"rivers",2,2
"full",4,4
"autumns",1,1
"bounteous",2,2
"hadst",1,1
"berry",5,5
"wandering",3,3
"june",6,5
"cut",2,2
"roses",1,1
"seed",7,7
"briefer",1,1
"tenderer",2,2
"supposed",3,3
"grave's",1,1
"affect",1,1
"return",7,7
"ours",6,5
"diversified",2,2
"prospect",1,1
"second",23,20
"compare",2,2
"recollect",6,6
"beginnings",1,1
"beginning",4,3
"october",1,1
"affectingly",1,1
"riot",2,2
"graphicker",1,1
"grace—",1,1
"going",11,11
"remaining",3,3
"face—",1,1
"departing",5,5
"deciduous",1,1
"die",29,26
"small",18,16
"surrounded",1,1
"tight",5,5
"early",4,4
"afternoon",4,4
"deep",6,6
"shortness",1,1
"ways",4,4
"obtained",4,4
"excuse",1,1
"november",2,2
"hung",3,3
"granite",1,1
"hat",6,6
"nail",2,2
"plush",3,3
"chilly",2,2
"peace",6,6
"infests",1,1
"grass",6,6
"respectful",1,1
"lies",6,6
"trance",1,1
"shadows",1,1
"allies",1,1
"glee",3,3
"mankind",3,3
"anchor",1,1
"whatsoever",3,3
"sifts",1,1
"leaden",1,1
"sieves",1,1
"powders",1,1
"wood",3,3
"fills",2,2
"alabaster",2,2
"wool",2,2
"wrinkles",1,1
"scatters",1,1
"condenses",1,1
"flock",1,1
"juggler’s",1,1
"figures",1,1
"situates",2,2
"baseless",1,1
"arc",3,3
"traverses",1,1
"disperses",1,1
"stays",5,5
"curls",1,1
"capricorn",1,1
"denying",2,2
"4",7,5
"several",1,1
"versions",3,3
"handwriting",5,5
"periods",2,2
"stanza",12,9
"poems",18,13
"series",4,4
"1891",3,3
"p",13,11
"174",1,1
"street",3,3
"tinsel",1,1
"peril",1,1
"merry",2,2
"venture",4,4
"hearty",2,2
"shot",4,4
"lithe",1,1
"sleds",1,1
"shod",2,2
"vibrations",1,1
"emphasized",1,1
"gone—",2,2
"past's",1,1
"supreme",6,6
"italic",5,5
"present",9,9
"mean",5,5
"hoar",2,2
"flavor",1,1
"yield",3,3
"intellects",1,1
"inebriate",1,1
"generic",1,1
"quarry",1,1
"invited",3,2
"asperity",1,1
"welcome",1,1
"pageantry",2,2
"banners",2,2
"sow",2,2
"train",3,2
"sleeps",1,1
"state",3,3
"chancel",1,1
"lose",6,6
"miss",9,8
"shall",38,32
"burglar",1,1
"rob",1,1
"broker",1,1
"cheat",1,1
"build",4,4
"hillocks",1,1
"gaily",2,2
"spade",1,1
"leaving",2,2
"nooks",1,1
"daisy",6,6
"columbine",1,1
"secret",3,3
"crocus",2,2
"know",60,47
"chant",1,1
"snow!”",1,1
"keeps",4,4
"orchis",1,1
"swamps",1,1
"pink",4,4
"5",3,3
"b",1,1
"emily",6,5
"75",1,1
"76",1,1
"77",1,1
"parts",1,1
"since",16,15
"wrote",2,2
"page",5,5
"usual",1,1
"marks",1,1
"separation",1,1
"bloom",8,8
"result",4,4
"casually",1,1
"scarcely",4,4
"suspect",7,7
"minor",5,5
"circumstance",5,5
"assisting",1,1
"affair",2,2
"intricately",1,1
"offered",3,3
"meridian",1,1
"pack",1,1
"bud",2,2
"oppose",1,1
"worm",1,1
"obtain",3,3
"right",8,8
"dew",4,4
"adjust",2,2
"heat",1,1
"elude",2,2
"escape",3,3
"prowling",1,1
"disappoint",1,1
"awaiting",1,1
"profound",1,1
"responsibility",1,1
"absent",3,3
"daffodils",2,2
"a-blow",1,1
"homesick",3,3
"drift",1,1
"block",5,4
"daffodil",1,1
"whom",12,11
"duplicate",3,3
"—well",1,1
"anybody",2,1
"define",1,1
"trouble",2,2
"humble",4,4
"fountain",1,1
"contra",1,1
"flow",1,1
"give",11,11
"daisies",3,3
"hillside",2,2
"blow",3,3
"breast",8,8
"butterflies",5,4
"san",2,2
"domingo",3,3
"cruising",1,1
"system",1,1
"aesthetics",1,1
"baffled",1,1
"embarrassed",1,1
"afraid",7,7
"encounter",1,1
"garden",7,7
"unexpected",1,1
"beckons",1,1
"woods",2,2
"start",5,5
"nods",1,1
"begin—",1,1
"surely",2,2
"country",2,2
"ask",8,8
"darlings",1,1
"grant",2,2
"penurious",2,2
"knows",9,9
"pilgrim",2,2
"hastening",1,1
"journey",6,6
"wonder",6,6
"sigh—",1,1
"ah",7,6
"6",3,3
"garlands",1,1
"queens",2,2
"laurels",1,1
"rare",3,3
"degree",4,4
"sword",2,2
"remembering",3,2
"chivalry",2,2
"charity",3,3
"equity",2,2
"ordained",2,2
"0",3,3
"december",1,1
"24",3,3
"artists",1,1
"wrestled",2,2
"lo",2,1
"tint",4,4
"cashmere",1,1
"student",2,2
"easel",1,1
"herein",1,1
"blossom",7,6
"sepulchre",3,3
"overcome",3,3
"remain—’tis",1,1
"rind",2,2
"easiest",2,2
"plays",1,1
"outside",3,3
"sorry",1,1
"confide",1,1
"enemy",3,3
"gentle",5,5
"separate",7,7
"herself",5,5
"distances",2,2
"become—",1,1
"constitute",2,2
"departed",5,4
"odor",1,1
"metre",1,1
"nay",4,4
"melody",6,6
"spiciest",1,1
"habit",2,2
"laureate",1,1
"7",4,4
"affects",1,1
"sedate",1,1
"occasion",3,3
"grand",4,3
"observation",2,2
"practices",1,1
"extend",1,1
"necromancy",1,1
"trades",1,1
"remote",3,3
"understand—",1,1
"behold",5,5
"juggler",2,2
"turnedl",1,1
"derided",1,1
"weed",2,2
"station",2,2
"ignominy's",1,1
"long",24,21
"fameless",1,1
"lightly",3,3
"disdain",2,2
"bower",1,1
"ancestors",1,1
"9",5,4
"brocades",1,1
"36",1,1
"used",6,6
"“poesy,”",1,1
"emily’s",8,8
"alternative",5,4
"reading",1,1
"“melody.”",1,1
"dandelion’s",1,1
"shield",1,1
"valid",1,1
"leontodon's",1,1
"escutcheon",1,1
"sustains",1,1
"anywhere",3,3
"enough",13,13
"entered",2,2
"entitled",3,3
"bumblebee’s",1,1
"familiarities",1,1
"veins",3,3
"terms",1,1
"“branch”",1,1
"“jugular.”",1,1
"abides",1,1
"conjugate",1,1
"skill",5,5
"creates",1,1
"federates",1,1
"syllable",3,3
"possess",2,2
"certificate",1,1
"minted",1,1
"holiness",2,2
"earlier",3,3
"copy",5,4
"third",5,4
"reads",3,3
"bliss",13,13
"codes",1,1
"jesus",11,6
"cites",1,1
"me,”",2,2
"moiety",1,1
"wafts",2,2
"seraphim",1,1
"send",2,2
"decrepit",2,2
"sent",7,7
"parting",4,4
"designed",1,1
"stay",3,3
"motive",1,1
"souvenir",2,2
"sentiment",1,1
"prudential",2,2
"withheld",4,4
"invincibly",1,1
"sown",4,4
"con",1,1
"lain",3,3
"received",3,3
"high",7,7
"mortal",3,3
"pick",2,2
"avoid",1,1
"spare",4,4
"unreluctantly",1,1
"recently",1,1
"rival",1,1
"claim",2,2
"disturbed",1,1
"amities",1,1
"property",2,2
"having",2,2
"claims",2,2
"pretty",5,5
"acre",4,3
