word,count
"bees",84
"are",887
"black",16
"with",1524
"gilt",5
"surcingles",3
"buccaneers",2
"of",5157
"buzz",14
"ride",31
"abroad",87
"in",3088
"ostentation",3
"and",6169
"subsist",10
"on",1028
"fuzz",12
"ordained",7
"not",2040
"contingent",3
"marrows",3
"the",16026
"hill",111
"jugs",3
"a",7055
"universe's",3
"fracture",7
"could",677
"jar",13
"or",1167
"spill",9
"sunset",60
"that",3286
"screens",3
"reveals",5
"retarding",1
"what",706
"we",1463
"see",393
"by",1159
"obstacles",1
"swarthy",5
"gold",105
"amber",59
"mystery",39
"sun",437
"is",3186
"one",895
"--",14587
"tare",11
"he",1173
"doth",87
"as",2499
"punctual",27
"call",62
"conscientious",5
"flower",181
"estimates",10
"deem",51
"all",922
"i",4309
"took",100
"draught",5
"life",403
"i'll",83
"tell",363
"you",991
"paid",11
"precisely",30
"an",928
"existence",43
"market",4
"price",40
"they",809
"said",184
"weighed",7
"me",1548
"dust",120
"balanced",2
"film",17
"then",925
"handed",12
"my",1860
"being's",15
"worth",22
"single",134
"dram",4
"heaven",371
"dare",74
"soul",321
"at",1119
"white",74
"heat",12
"crouch",11
"within",214
"door",198
"red",82
"fire's",6
"common",60
"tint",31
"but",2024
"when",1231
"quickened",14
"ore",6
"has",416
"sated",2
"flame's",4
"conditions",6
"she",548
"quivers",3
"from",1010
"forge",13
"without",367
"color",40
"light",209
"unannointed",6
"blaze",28
"least",95
"village",45
"boasts",2
"it's",732
"blacksmith",4
"whose",284
"anvil's",4
"even",134
"ring",34
"stands",67
"symbol",12
"for",2131
"finer",35
"soundless",13
"tugs",4
"refining",4
"these",230
"impatient",9
"ores",4
"hammer",6
"until",202
"designated",4
"repudiate",4
"brother",16
"ingots",6
"ah",87
"peru",10
"empty",31
"hearts",24
"purchased",2
"love",272
"can",436
"do",401
"raise",15
"dead",141
"doubt",66
"if",1155
"such",371
"giant",28
"were",689
"withheld",11
"flesh",41
"equivalent",2
"tired",25
"must",313
"sleep",99
"hungry",26
"graze",2
"so",1619
"abets",2
"shining",25
"fleet",21
"till",442
"it",3200
"out",318
"gaze",32
"was",1316
"great",85
"day",638
"be",1811
"please",39
"thee",572
"small",165
"any",269
"size",55
"nay",43
"i'm",144
"suit",33
"tall",11
"like",924
"stag",2
"would",614
"lower",19
"wren",6
"other",342
"hights",5
"ones",46
"i've",72
"seen",129
"which",295
"dull",32
"to",6170
"guess",60
"rhinoceros",2
"mouse",25
"once",167
"say",255
"queen",42
"page",14
"nought",56
"thing",163
"there",560
"just",608
"this",1082
"reservation",1
"stipulus",2
"though",218
"waters",48
"still",301
"deep",52
"cannot",288
"no",995
"vacillating",7
"god",348
"ignited",7
"abode",37
"put",229
"susan",6
"stranger",42
"yet",393
"who",572
"cite",8
"her",1506
"most",131
"have",762
"never",485
"scaled",1
"haunted",12
"house",193
"nor",398
"compromised",3
"ghost",28
"pity",20
"those",221
"know",585
"helped",14
"regret",13
"less",76
"nearer",57
"get",46
"volcano",9
"grows",38
"grass",117
"meditative",3
"spot",37
"area",8
"bird",264
"choose",52
"general",26
"thought",191
"how",810
"fire",60
"reeks",1
"below",82
"insecure",8
"sod",27
"did",380
"disclose",22
"populate",3
"awe",59
"solitude",22
"died",85
"way",289
"breath",90
"done",154
"up",213
"simple",83
"wardrobe",8
"started",21
"little",609
"figure",40
"gate",40
"angels",81
"spied",16
"since",130
"find",156
"opon",335
"mortal",50
"side",114
"come",328
"dazzled",12
"face",364
"place",179
"hear",107
"foreign",48
"ear",122
"sounds",24
"welcome",14
"saints",39
"forget",65
"our",627
"bashful",20
"feet",221
"holiday",45
"shall",255
"remember",46
"paradise",141
"fame",63
"pronounce",3
"name",147
"better",104
"than",587
"music",53
"heard",128
"used",32
"birds",172
"before",333
"different",66
"twas",246
"translation",2
"tunes",26
"knew",191
"more",448
"twas'nt",12
"contained",10
"stanza",13
"play",140
"second",68
"time",350
"composer",2
"perfect",45
"mozart",2
"perish",51
"him",621
"keyless",2
"rhyme",2
"children",96
"told",103
"brooks",28
"eden",44
"bubbled",15
"melody",44
"quaintly",5
"infer",15
"eve's",2
"surrender",17
"urging",2
"fly",90
"matured",2
"wiser",19
"mostly",18
"legend",6
"dimly",7
"eve",7
"anguish",81
"grandame's",2
"story",20
"telling",8
"tune",97
"strain",14
"church",32
"baptizes",2
"last",214
"saint",4
"goes",72
"aisles",7
"splits",4
"silence",51
"redemption",11
"strikes",9
"bells",75
"let",200
"smallest",31
"cadence",7
"humming",21
"promise",11
"alone",106
"faint",29
"rehearsal",4
"drop",102
"into",98
"around",69
"throne",10
"retire",12
"their",567
"chapeaux",2
"martial",25
"evenings",5
"steal",24
"purple",149
"cochineal",19
"after",87
"departed",39
"both",63
"e",6
"gathered",32
"away",566
"found",81
"argues",6
"aster",9
"reasons",6
"daffodil",21
"profound",17
"had",761
"been",185
"cease",40
"smitten",8
"superfluous",25
"every",276
"lest",128
"should",321
"value",25
"loss",44
"stricken",11
"privilege",60
"cherishes",3
"heart",307
"many",181
"doors",16
"knock",22
"sweet",221
"impelled",2
"hark",2
"saddened",2
"repulse",2
"repast",4
"somewhere",20
"exists",28
"supremacy",6
"bronze",5
"north",37
"night",338
"adequate",27
"its",104
"forms",6
"preconcerted",3
"itself",270
"distant",58
"alarms",5
"unconcern",3
"sovereign",6
"universe",73
"paints",3
"spirit",91
"tints",4
"majesty",27
"take",225
"vaster",15
"attitudes",7
"strut",6
"upon",438
"stem",25
"disdaining",5
"men",226
"oxygen",9
"arrogance",7
"them",353
"splendors",3
"menagerie",8
"competeless",3
"show",152
"will",633
"entertain",21
"centuries",51
"am",203
"long",193
"ago",32
"island",3
"dishonored",3
"whom",108
"none",126
"daisies",30
"passenger",9
"known",84
"flee",31
"lodged",8
"memory",58
"wily",8
"subterranean",8
"inn",19
"contrives",4
"go",399
"again",161
"because",188
"going",107
"coming",68
"back",138
"however",38
"absolute",33
"may",386
"overlook",7
"your",318
"track",14
"death",355
"final",29
"first",247
"instant",60
"suspended",10
"above",85
"mortality",26
"significance",18
"each",186
"lived",45
"detect",13
"discovery",11
"himself",113
"now",331
"annihilate",8
"eternity",140
"presumption",20
"perceive",28
"yourself",28
"forgot",83
"live",134
"fictitious",23
"realm",44
"residence",23
"too",577
"plain",65
"unless",24
"redeemer's",5
"recognize",15
"own",203
"immortality",119
"doubts",10
"exchange",22
"curtailed",5
"obscuring",7
"everything",29
"hell",30
"also",38
"yield",19
"right",72
"reprehend",5
"whoso",15
"commute",5
"his",1286
"priceless",7
"friend",153
"admits",7
"think",109
"jealous",15
"tells",11
"us",497
"certainly",14
"possible",23
"besides",31
"concedes",8
"refund",8
"finally",9
"confiscated",5
"gods",25
"fear",133
"incarcerated",2
"here",210
"event",16
"directly",7
"behind",135
"fitted",20
"robe",8
"relished",2
"ignorance",17
"motioned",2
"drill",5
"loaded",13
"levelled",2
"poor",43
"torn",9
"tattered",6
"sat",18
"down",236
"rest",116
"noticed",23
"ebbing",4
"flowed",4
"silver",87
"west",70
"soft",59
"descend",18
"constellation",4
"burn",24
"intent",12
"vision",42
"latitudes",17
"unknown",87
"happening",8
"dusty",11
"espied",5
"tenderly",18
"toil",21
"carried",20
"sandals",13
"barefoot",27
"gales",16
"blue",104
"havens",4
"hand",207
"lead",34
"wandering",21
"sails",18
"might",189
"tho't",1
"undisputed",5
"attempt",22
"opposite",30
"concentrate",5
"officers",3
"die",242
"nature",274
"mankind",17
"pause",45
"pay",26
"scrutiny",13
"some",464
"rainbow",14
"fair",160
"world",158
"cashmere",18
"confidently",4
"else",36
"peacock's",4
"train",13
"feather",23
"fritters",4
"dreamy",4
"butterflies",59
"bestir",7
"lethargic",4
"pools",19
"resume",15
"whirr",3
"year's",10
"sundered",6
"old",227
"fortress",6
"baronial",4
"march",67
"murmuring",19
"platoon",4
"robins",39
"stand",105
"thick",15
"today",129
"flakes",14
"snow",132
"stood",61
"yesterday",65
"fence",20
"roof",25
"twig",22
"orchis",9
"binds",9
"lover",28
"don",7
"revisiting",6
"bog",15
"commander",4
"countless",6
"regiments",4
"wood",32
"bright",80
"detachment",3
"behold",63
"multitudes",9
"turbaned",4
"seas",26
"circassian",6
"land",82
"lip",36
"divine",84
"elemental",13
"freight",29
"delivered",7
"syllable",45
"twould",45
"crumble",7
"weight",18
"prey",4
"zones",6
"pillage",6
"sea",330
"tabernacles",6
"minds",23
"truth",55
"derided",3
"home",224
"weed",9
"summer",290
"came",154
"station",20
"low",126
"ignominy's",5
"bestowed",8
"fameless",3
"swept",19
"lightly",23
"disdain",13
"lady",63
"bower",5
"implements",7
"bliss",98
"few",87
"jesus",53
"says",9
"unto",249
"moiety",4
"wafts",6
"seraphim",5
"sing",47
"women",39
"went",200
"account",3
"settled",20
