word,close_words
marrow,marrows,narrow,arrow,morrow
flower,lower,flowed,flowers,slower
draught,draughts,drought
market,markets,marked
handed,hanged,handled
single,mingle,dingle
heaven,heaves,heavens
fire's,fife's,fires
village,pillage,villages,tillage
brother,brothers,brethren
purchased,purchase,purchaser
withheld,witheld,withhold
please,lease,pleased,pleases
hights,nights,hight,heights,lights,sights
nought,sought,bought,ought,fought
though,thought,through,trough
stranger,strange,strangers,stronger
haunted,hunted,taunted
compromised,compromise,comprised
nearer,bearer,dearer
choose,chooses,chose
thought,though,thoughts
disclose,disclosed,discloses,discloser
breath,breadth,breaths,breathe,breach
simple,simply,dimple,simpler
started,startled,stated,starved,stared
mortal,moral,mortals
dazzled,dazzle,dazzles
forget,forge,forgot,forgets
better,letter,bitter
composer,compose,composed
bubbled,bubble,bubbles
telling,tolling,tilling
strain,train,strains,stain,strait
strike,strikes,stroke,strive,strife,stripe
around,round,ground,aground
throne,throng,throe,thrones
retire,retires,retired
argues,argue,argued
reason,reasons,treason,season
vaster,aster,easter,master,faster
attitude,attitudes,altitude,aptitude
lodged,longed,lodge
memory,memories,mem'ry
perceive,perceives,perceived
commute,commuted,commune
friend,friends,fiend
jealous,jealousy,zealous
possible,possibly,possibler
besides,beside,betides
fitted,fitter,flitted
tattered,battered,tottered
noticed,notice,notices
flowed,flower,glowed
espied,spied,espies
carried,married,tarried,carries
wandering,wondering,wanderings
officer,officers,office
feather,father,feathers,weather,heather
fritter,fritters,fitter
dreamy,dream,dreams,dreary
resume,presume,resumes,resumed
year's,years,yearns
bright,right,fright
behold,beheld,beholds
divine,diviner,divide,diving
crumble,rumble,crumbled
weight,weigh,weighs,weights,height
pillage,village,tillage
fameless,fadeless,nameless
seraph,seraphim,seraphs
settled,settler,settle,settles
beguiled,beguile,beguiles
bequeaths,bequeath,bequeathes
wrestle,wrestles,wrestled,wrestler
fearing,wearing,hearing,bearing,nearing
fitting,sitting,flitting
morning,mornings,moaning
wearing,fearing,hearing,bearing,nearing
through,though,thorough,trough
abated,abased,abates
product,products,produce
ground,around,round,aground,grounds
process,prowess,processes
chooses,choose,chaoses
breast,breasts,beast,abreast
baffle,baffles,baffled,raffle
startled,started,startle
report,deport,reports
could'nt,would'nt,could'st
larger,large,larder
stopped,stooped,stepped
prayer,prayed,prater,prayers
contented,consented,contested
become,becomes,became
obscured,obscure,obscures
life's,wife's,fife's
served,serve,swerved
looked,loosed,locked,hooked
suffices,suffice,sufficed
rather,father,gather
throng,throne,throngs
clover,lover,clove,cover,closer,clovers,plover,cloven
revery,every,revere,revelry
testing,resting,tasting
beggar,beggars,beggary
