word,average
you,42.8
do,42.8
n't,38.8
know,41.7
about,42.8
me,42.8
without,28.3
have,41.7
read,18.8
a,43.0
book,16.7
by,41.6
the,43.1
name,20.9
of,42.8
adventures,15.6
tom,24.1
sawyer,16.0
but,42.8
that,42.8
ai,31.8
no,42.8
matter,16.6
was,42.8
made,41.5
mr,8.0
mark,13.3
twain,9.3
and,42.8
he,42.8
told,37.7
truth,7.8
mainly,7.5
there,42.8
things,36.9
which,35.8
stretched,8.9
is,40.8
nothing,39.6
i,42.8
never,40.8
seen,24.9
anybody,32.2
lied,2.0
one,42.8
time,42.8
or,41.8
another,36.8
it,42.9
aunt,11.9
polly,4.1
widow,14.5
maybe,29.5
mary,11.9
--,26.0
's,37.4
she,39.6
douglas,1.7
all,42.8
in,42.9
mostly,13.0
true,9.8
with,42.9
some,40.7
stretchers,1.8
as,42.8
said,42.7
before,41.7
now,42.8
way,42.9
winds,1.0
up,42.8
this,41.6
found,34.6
money,23.9
robbers,7.2
hid,21.7
cave,5.3
us,37.2
rich,11.9
we,40.8
got,42.8
six,23.9
thousand,22.6
dollars,23.7
apiece,7.5
gold,10.1
an,38.8
awful,20.7
sight,23.9
when,42.8
piled,3.0
well,42.8
judge,9.0
thatcher,6.8
took,40.8
put,38.7
out,42.9
at,41.8
interest,5.0
fetched,24.4
dollar,7.4
day,33.5
year,23.8
round,13.1
more,41.8
than,36.3
body,34.6
could,42.5
tell,36.7
what,41.8
to,42.8
for,42.9
her,37.8
son,10.1
allowed,17.4
would,42.7
sivilize,1.75
rough,10.0
living,6.1
house,33.9
considering,1.0
how,38.7
dismal,3.0
regular,14.1
decent,2.0
ways,23.4
so,42.8
stand,27.2
longer,11.8
lit,22.0
into,38.9
my,39.8
old,39.8
rags,8.9
sugar-hogshead,1.0
again,38.8
free,14.6
satisfied,18.2
hunted,8.9
going,38.7
start,28.6
band,3.8
might,31.6
join,1.9
if,42.8
go,41.8
back,39.7
be,42.8
respectable,1.8
went,42.6
cried,11.7
over,41.8
called,14.9
poor,20.6
lost,14.0
lamb,1.0
lot,29.0
other,38.0
names,8.7
too,40.4
meant,5.7
harm,16.8
them,42.9
new,22.2
clothes,20.6
sweat,13.9
feel,21.7
cramped,2.7
then,42.8
thing,36.7
commenced,1.0
rung,1.0
bell,6.0
supper,13.0
had,42.8
come,42.8
table,15.9
right,42.8
eating,4.7
wait,21.5
tuck,5.2
down,42.8
head,38.5
grumble,1.0
little,40.8
victuals,1.0
though,22.7
war,31.1
really,3.0
anything,33.2
,,7.625
only,37.8
everything,31.7
cooked,5.8
itself,5.0
barrel,5.1
odds,1.0
ends,1.0
different,16.9
get,42.8
mixed,5.5
juice,1.0
kind,39.6
swaps,1.0
around,42.9
better,28.6
after,40.1
learned,2.0
moses,2.0
bulrushers,1.0
find,26.2
him,42.7
let,41.4
been,41.7
dead,30.0
considerable,19.1
long,37.6
did,41.5
care,16.1
because,41.7
take,42.8
stock,7.3
people,34.8
pretty,37.8
soon,35.5
wanted,33.4
smoke,7.9
asked,17.1
mean,23.4
practice,2.5
clean,12.9
must,29.0
try,22.4
not,41.4
any,38.9
just,41.8
they,42.8
on,42.8
here,40.6
a-bothering,1.0
kin,10.7
use,27.6
being,26.5
gone,30.7
see,41.9
yet,33.5
finding,5.0
power,5.0
fault,9.9
doing,18.1
good,42.9
snuff,1.1111111111111112
course,23.8
done,41.7
herself,10.3
sister,5.0
miss,20.6
watson,10.6
tolerable,6.4
slim,4.0
maid,1.0
goggles,1.0
live,18.0
set,40.2
spelling-book,1.0
worked,15.9
middling,3.0
hard,16.9
hour,24.7
ease,1.0
stood,22.6
much,38.8
deadly,1.0
dull,7.9
fidgety,2.9
say,39.6
your,37.6
feet,5.9
huckleberry,24.9
scrunch,1.0
like,40.8
straight,16.7
gap,4.0
stretch,5.0
why,36.5
behave,2.8
bad,16.2
place,33.8
wished,13.7
mad,9.9
somewheres,8.6
change,9.0
particular,6.7
wicked,3.0
whole,24.9
world,21.8
advantage,3.9
where,36.7
mind,32.4
make,40.8
trouble,28.6
harp,1.4
sing,6.9
forever,6.0
ever,39.9
think,36.6
reckoned,35.6
glad,24.6
together,19.6
kept,27.7
pecking,1.9
tiresome,2.8
lonesome,11.0
niggers,18.6
prayers,1.0
everybody,30.0
off,41.7
bed,24.7
room,19.4
piece,23.7
candle,17.8
chair,7.9
window,16.6
tried,18.8
something,35.3
cheerful,2.0
felt,18.7
most,40.8
stars,6.9
were,5.3
shining,4.9
leaves,8.7
rustled,1.0
woods,18.9
mournful,5.7
heard,26.7
owl,1.0
away,41.8
who-whooing,1.0
somebody,27.7
whippowill,1.0
dog,17.1
crying,10.8
die,15.0
wind,9.0
trying,21.0
whisper,4.8
cold,20.2
shivers,2.0
run,30.5
sound,20.7
ghost,2.2
makes,19.9
wants,11.6
its,12.9
ca,28.8
understood,3.0
rest,28.8
easy,27.6
grave,5.2
has,30.3
every,37.2
night,35.9
grieving,1.0
down-hearted,1.25
scared,18.4
wish,18.5
company,5.8
spider,1.2
crawling,3.5
shoulder,12.1
flipped,1.0
budge,7.7
shriveled,1.0
need,14.2
sign,16.9
fetch,29.4
luck,14.0
shook,13.6
turned,24.6
tracks,7.0
three,37.8
times,29.2
crossed,8.9
breast,8.0
tied,13.8
lock,6.1
hair,13.9
thread,3.9
keep,30.9
witches,4.1
confidence,2.8
've,29.4
horseshoe,2.0
instead,3.0
nailing,1.0
door,25.6
'd,34.8
killed,16.0
a-shaking,1.625
pipe,4.0
still,31.8
death,10.8
wouldn't,11.88888888888889
clock,4.9
town,30.6
boom,3.1
twelve,6.9
licks,1.0
stiller,1.9
twig,1.0
snap,2.0
dark,29.0
amongst,20.8
trees,9.8
stirring,5.2
listened,10.9
directly,4.0
barely,2.0
hear,32.3
me-yow,1.0
says,42.7
soft,11.7
light,23.1
scrambled,2.0
shed,5.9
slipped,13.7
ground,11.0
crawled,9.0
among,1.8
sure,25.4
enough,36.6
waiting,3.8
tiptoeing,1.0
along,37.8
path,6.0
towards,25.8
end,19.8
garden,5.0
stooping,2.0
branches,6.0
scrape,3.0
our,28.9
heads,13.7
passing,4.9
kitchen,4.0
fell,15.0
root,1.0
noise,12.8
scrouched,1.0
laid,27.0
big,31.7
nigger,30.3
named,3.0
jim,31.4
setting,11.2
clear,13.6
behind,26.8
his,41.7
neck,10.7
minute,35.8
listening,5.8
who,29.7
dah,9.7
between,14.0
touched,5.0
nearly,11.8
likely,15.7
minutes,11.5
close,12.7
ankle,2.7
itching,1.0
das,7.5
scratch,4.0
ear,5.0
begun,26.7
itch,1.0
next,32.7
shoulders,4.8
seemed,13.8
noticed,13.9
plenty,17.9
since,11.0
are,24.9
quality,2.9
funeral,5.0
sleep,19.9
ain't,12.875
sleepy,3.9
anywheres,4.8
wo,24.0
will,27.5
upwards,2.0
places,13.9
whar,2.6
cats,3.1
ef,6.9
didn,15.2
sumf'n,1.5
gwyne,13.3
listen,11.9
hears,4.9
agin,9.6
betwixt,8.9
leaned,3.0
against,18.8
tree,6.8
legs,8.0
till,36.6
mine,14.7
nose,6.9
itched,1.1
tears,11.1
eyes,24.7
inside,11.9
underneath,1.8
miserableness,1.7
seven,10.3
eleven,5.7
'n,5.75
teeth,5.7
ready,26.7
breathe,4.0
heavy,7.6
snore,1.0
comfortable,20.2
mouth,14.8
creeping,2.9
hands,28.6
knees,10.8
ten,18.7
foot,27.1
whispered,2.8
tie,12.4
fun,8.6
wake,8.0
disturbance,1.7
candles,7.9
slip,9.9
want,39.9
resk,6.9
slid,14.7
five,15.3
cents,9.8
pay,11.0
crawl,3.0
play,10.1
waited,14.7
while,24.0
cut,17.5
fence,7.9
steep,2.0
top,16.0
hill,6.1
side,29.8
hat,14.4
hung,15.9
limb,2.0
stirred,7.0
afterwards,5.2
witched,1.5555555555555556
trance,1.0
rode,3.0
state,9.0
under,30.6
show,24.8
orleans,8.7
spread,13.0
tired,15.7
saddle-boils,1.0
monstrous,7.9
proud,7.0
hardly,17.9
notice,14.0
miles,9.5
looked,31.8
country,17.4
strange,5.0
their,31.8
mouths,4.0
open,22.8
look,37.2
same,32.3
wonder,7.8
always,35.3
talking,21.4
fire,11.4
whenever,7.7
letting,10.5
such,37.7
happen,8.0
hm,1.3
bout,17.7
corked,1.0
seat,3.0
five-center,1.0
string,5.2
charm,1.0
devil,4.9
give,37.8
own,22.9
cure,2.1
saying,28.3
from,39.9
touch,9.0
ruined,2.0
servant,4.5
stuck,14.9
account,11.2
having,12.6
edge,7.2
hilltop,1.0
village,10.9
four,20.2
lights,8.2
twinkling,2.0
sick,19.7
folks,16.9
sparkling,1.0
fine,9.4
river,31.6
mile,23.9
broad,5.5
grand,6.9
jo,3.111111111111111
harper,2.9
ben,17.1
rogers,1.9
two,41.6
boys,12.6
tanyard,3.0
unhitched,1.0
skiff,7.8
pulled,8.0
half,31.1
scar,1.0
hillside,2.9
ashore,11.7
clump,1.9
bushes,5.8
swear,5.0
secret,4.9
showed,19.9
hole,11.7
thickest,3.0
part,9.4
hundred,22.5
yards,11.3
opened,12.0
poked,5.8
passages,1.0
ducked,2.0
wall,8.9
narrow,3.9
damp,2.9
sweaty,2.0
stopped,20.7
'll,31.1
call,16.8
gang,11.0
oath,1.0
write,12.8
blood,5.9
willing,4.0
sheet,6.9
paper,9.4
wrote,14.8
swore,2.8
boy,20.8
stick,13.1
secrets,1.0
whichever,2.0
ordered,2.0
kill,14.0
person,15.5
family,15.2
eat,18.6
hacked,3.0
cross,4.5
breasts,1.0
nobody,31.1
belong,4.0
sued,1.0
belonged,3.9
throat,4.9
carcass,3.0
burnt,2.0
ashes,4.0
scattered,2.8
blotted,1.0
list,3.0
mentioned,2.9
curse,1.0
forgot,19.0
real,10.1
beautiful,11.0
pirate-books,1.0
robber-books,1.0
high-toned,1.9
thought,26.6
families,5.4
idea,21.8
pencil,4.0
huck,20.4
finn,29.1
hai,22.9
father,11.8
yes,32.6
these,30.4
days,24.3
used,20.8
lay,27.7
drunk,13.0
hogs,6.1
parts,2.0
talked,17.8
rule,1.0
else,20.0
fair,5.9
square,8.0
others,11.9
stumped,3.0
cry,12.3
once,20.6
offered,1.9
oh,30.5
can,37.5
pin,2.1
fingers,4.0
line,15.0
business,23.4
robbery,1.0
murder,3.0
rob,4.1
?,10.0
houses,9.8
cattle,2.9
stuff,13.7
stealing,5.2
burglary,1.0
burglars,1.0
sort,14.9
style,13.7
highwaymen,1.0
stop,16.1
stages,1.0
carriages,1.0
road,12.9
masks,2.9
watches,2.0
certainly,1.0
best,22.0
authorities,2.8
considered,1.0
except,13.7
bring,6.7
're,27.9
ransomed,1.0
books,5.9
blame,18.9
muddled,1.0
very,32.5
nation,9.9
fellows,7.1
reckon,35.8
per'aps,1.0
means,4.7
answer,17.0
bothersome,1.0
loose,12.9
talk,28.8
guard,2.0
shoot,4.0
move,6.1
peg,3.0
watch,14.4
that's,7.25
foolishness,6.6
club,1.0
ransom,1.0
knows,12.0
correct,2.8
learn,8.8
em,27.8
deal,14.8
sir,12.2
fool,22.9
anyhow,2.8
women,15.6
ignorant,5.9
saw,10.8
polite,1.0
pie,7.9
fall,5.2
love,5.1
home,27.7
'm,25.22222222222222
agreed,2.9
mighty,30.5
cluttered,1.0
ahead,14.4
tommy,1.0
barnes,1.0
asleep,19.3
waked,9.9
ma,5.1
didn't,19.666666666666668
robber,1.8
cry-baby,1.0
quiet,13.8
meet,5.2
week,15.5
sundays,2.8
begin,10.7
sunday,4.2
settled,4.0
fix,17.7
elected,1.0
first,36.0
captain,4.9
second,18.5
started,29.8
clumb,6.285714285714286
crept,8.9
breaking,4.0
greased,2.0
clayey,1.0
dog-tired,1.8
going-over,1.0
morning,27.3
scold,1.0
cleaned,3.9
grease,2.0
clay,2.1
sorry,13.9
awhile,6.2
closet,1.8
prayed,1.9
pray,5.0
whatever,8.0
fish-line,1.4
hooks,2.9
somehow,15.6
work,22.8
myself,23.8
don't,15.222222222222221
deacon,3.0
winn,1.0
pork,3.0
silver,4.1
snuffbox,1.0
stole,17.8
fat,1.9
self,9.9
praying,1.1
spiritual,1.0
gifts,1.1
many,28.9
help,24.7
including,2.0
last,36.7
worry,9.4
sometimes,22.2
providence,4.7
water,24.2
hold,21.9
knock,3.0
judged,23.8
providences,1.0
chap,6.9
a-going,22.166666666666668
seeing,9.9
low-down,5.0
ornery,9.8
pap,17.9
whale,1.0
sober,2.9
drownded,13.3
above,11.3
anyway,26.3
man,38.2
size,4.0
ragged,1.8
uncommon,5.4
face,19.7
floating,6.0
buried,2.9
bank,17.6
happened,16.1
knowed,27.5
float,8.1
woman,14.4
dressed,9.4
uncomfortable,2.6
turn,26.3
played,11.1
month,4.8
resigned,1.0
robbed,2.9
pretended,1.9
hop,3.0
charging,1.2857142857142858
hog-drivers,1.0
carts,1.0
taking,11.1
market,1.3
hived,1.0
ingots,1.0
turnips,1.0
julery,1.0
powwow,8.0
marked,4.0
profit,1.0
sent,8.0
blazing,3.3
slogan,1.0
news,6.3
spies,1.0
parcel,2.0
spanish,3.0
merchants,1.0
a-rabs,1.0
camp,6.0
hollow,1.0
elephants,1.0
camels,1.0
sumter,1.0
mules,1.0
loaded,8.0
di'monds,1.0
soldiers,1.0
ambuscade,1.0
scoop,4.1
slick,4.0
swords,2.0
guns,8.9
even,8.8
turnip-cart,1.0
scoured,2.0
lath,1.9
broomsticks,1.0
scour,1.0
rotted,1.0
worth,18.7
mouthful,1.0
believe,16.6
lick,4.1
crowd,9.9
spaniards,1.0
hand,28.8
saturday,1.0
word,20.9
rushed,2.9
warn't,10.333333333333334
nor,26.7
sunday-school,3.6
picnic,1.8
primer-class,1.0
busted,14.6
chased,3.8
children,12.7
doughnuts,1.0
jam,2.9
rag,6.6
doll,1.0
hymn-book,1.2222222222222223
tract,1.0
teacher,1.0
charged,2.9
drop,8.1
loads,1.0
don,10.6
quixote,1.0
asking,6.0
enchantment,1.0
hundreds,2.888888888888889
treasure,1.0
enemies,1.1
magicians,1.0
infant,2.2
spite,2.9
numskull,3.1
magician,1.0
genies,1.0
hash,1.0
jack,3.1
robinson,3.5
tall,3.8
church,8.1
s'pose,10.25
us_,1.0
rub,1.3333333333333333
tin,15.9
lamp,1.0
iron,6.3
ring,3.3
tearing,8.0
thunder,4.9
lightning,8.9
a-ripping,1.0
a-rolling,1.0
pulling,3.8
shot-tower,2.0
roots,1.9
belting,1.0
superintendent,2.0
tear,6.0
whoever,5.3
rubs,1.0
tells,4.9
build,3.0
palace,4.0
forty,10.9
fill,1.0
full,25.2
chewing-gum,1.0
emperor's,1.0
daughter,2.8
china,1.9
marry,3.9
they've,1.1428571428571428
sun-up,5.7
waltz,2.9
wherever,5.8
understand,11.6
pack,2.0
flat-heads,1.0
keeping,5.8
themselves,5.7
stead,10.1
fooling,10.8
what's,1.7142857142857142
jericho,2.0
rubbing,1.8
rubbed,4.0
whether,13.0
high,17.1
climb,4.0
highest,1.0
shucks,14.7
seem,23.6
perfect,5.7
saphead,1.0
injun,6.7
calculating,1.0
sell,13.6
none,16.7
lies,6.1
believed,8.9
