score,sentence
146.3199005126953,Preliminary Manuscripts and Dictations PRELIMINARY MANUSCRIPTS AND DICTATIONS 1870–1905 [continue to the first text]
108.59280395507812,And so believing, he died.
140.49087524414062,There were none of brick, and none of stone.
133.56915283203125,The title adopted here was supplied by Paine.
98.2699966430664,The Chicago G. A. R. Festival The Chicago G. A. R. Festival 1866.
65.60681915283203,I ¶ I (Howell interview continued.)
125.72810363769531,This reminds me of one other circumstance.
119.90349578857422,(September: at the farm at Elmira.)
78.96965026855469,Yours truly, U. S. Grant.
121.18366241455078,This chilly introduction didn’t distress the essayist a bit apparently.
70.59567260742188,See assignment, Aug. 12, 1890.
74.58992004394531,angelically ignorant., and adorably stupid.
109.62600708007812,Neider included none in his edition.
131.5666046142578,“I have captured the Beutelratte,” said he.
120.294677734375,I do not like that kind of persons.
82.30874633789062,x x x May 4 June 4, Kaltenleutgeben.
99.41839599609375,Yet that was merely a detail.
51.15007781982422,Latitude 17° 6′; 6ʹ; 6ʹ; 6ʹ, longitude 131° 30′.
85.35029602050781,Horace Greeley title Greeley Greeley.
110.44496154785156,Not twice, of course, but once.
103.54093170166016,“And read, too!” said Keeler.
86.84410095214844,I was a little shocked.
73.46056365966797,I think it a mistake.
87.06519317626953,What a king must suffer!
82.60514831542969,I make this charge deliberately.
92.26611328125,Here follows that Boston sketch.
96.44583892822266,double rule Feb. Feb. Feb 20 ’05.
156.9319610595703,double rule single rule letterspaced: AUTOBIOGRAPHY not letterspaced: of MARK TWAIN.
79.24778747558594,Richard Watson Gilder, October 1904.
122.27420043945312,An Early Attempt An Early Attempt Attempt Attempt.
63.04522705078125,(Swede, named Bjorgensen Bjackson Bjurgensen,)’.
117.17193603515625,My Autobiography [Random Extracts from it.]
134.64535522460938,German Progressives ʺ People’s party ʺ Nationalists Social-democrats Clericals Young Chzechs Anti-Semites
87.8803482055664,Dr. Fife Chapultepec— destroyed extras.
87.18035125732422,I am paying for both.
79.479248046875,a mere skin enveloping it.
91.9460220336914,Here begin the Florentine Dictations.
51.1805419921875,M. T. x May 20, 1906.
101.90213775634766,So I diffidently said nothing.
83.64327239990234,Hired landau, horses and coachman.
78.38139343261719,January January Jan. 9, 1906.
105.66757202148438,This is the Morris incident.
64.28791809082031,I pass, ways I keep.
83.33129119873047,Part Dictated Jan. 12, 1905.
102.06890869140625,Franklin was a bluff old soldier.
100.7739028930664,It was a wild night.
104.87798309326172,But I believe in this present plan.
81.53031921386719,A newspaper correspondent appeared first.
107.10340881347656,Tillman makes a point which charms me.
77.78218078613281,I thoroughly disapprove of duels.
62.957401275634766,* footnote: ¶ *Jan. 11, ’06 .
100.66714477539062,But the Reverend Reverend Rev.
77.79158782958984,February February Feb. 1, 1906.
96.34992980957031,A day without a quarrel brought candy.
107.30086517333984,No public appeal was made.
108.0333251953125,Obscurity is a great thing in a charade.
87.2830581665039,no ¶ In ¶ But .
95.43465423583984,This is a frank historian.
83.04534149169922,physically exhausted and spiritually reconciled.
85.9249038696289,I selected one for myself.
79.20980072021484,I smoked that stub without shame.
70.73133850097656,I got not a bruise.
68.37727355957031,* footnote: ¶ *August 6, 1870—S.L.C.
79.36178588867188,I was smoking a cigar.
102.44439697265625,He held the balances even.
96.45671844482422,Everything’s satisfactory; let’s satisfactory; let’s satisfactory;.
97.9581527709961,What was I born for?
96.80020141601562,It supplied a long felt want.
96.38711547851562,But I remember his answer.
66.60674285888672,Yours sincerely, R. W. Gilder.
95.67960357666016,It was a delicate place.
85.7943115234375,L. C.] Mamma was delighted.
73.94072723388672,I remember Dawson’s schoolhouse perfectly.
89.9093246459961,Friday, Dictated March 9, 1906. .
92.5708999633789,Depth of the bowl, 50 feet.
111.6337661743164,The savages were all massacred.
76.96893310546875,But I know I’m troublesome.
87.81938171386719,The excitement grew and grew.
80.29719543457031,Tickets Tickets Admission Tickets Tickets $ .
0.0,R. S. V. P. R.S.V.P.
0.0,P. S. P. S. P. S. P.S.
86.95359802246094,I met Reverend Reverend Rev.
62.73881149291992,6—/06 /06 /06 ’06 C. H. Higbie, Greenville—Cal.
79.9517822265625,I hate a long-handled shovel.
89.54644012451172,In Florence, Italy, June 5, 1904.
79.5439224243164,¶ Dictated March 28, 1906.
94.35445404052734,I said I hoped the same.
91.14898681640625,But I was differently situated.
93.52619171142578,[Insert Carnegie Hall Speech here.]
54.72063064575195,O. P.” elephant brought $28.
72.13720703125,1864–65 1864–65 not in 1864–5.
88.06768035888672,‘Orion resumed.’ underscored Orion resumed.
57.684879302978516,(Par dépêche de notre correspondant particulier.
93.81586456298828,I stopped at that point.
83.00015258789062,STRANGE SEQUEL TO BLACKMAILING CASE.
94.04241943359375,Webb undertook to collate the sketches.
86.48451232910156,I found a difficulty in it.
85.77144622802734,I asked for an endorser.
101.27140045166016,Except at somebody else’s expense, I mean.
98.38720703125,I will pay double price.
0.0,1884–85 1884–85 (1884 & ’85) (1884 & ’85) ‖ 1884–85.
101.34463500976562,This is a magnificent morning.
67.44805145263672,6¼; in 6¼; in 6¼; .
86.79524993896484,I began to feel troubled.
79.92530059814453,I tell a million a day!
88.80181121826172,The French phrase stood translated!
52.82257843017578,Livy [¶] Livy [¶] P.S.
81.5267105102539,I am in a trance.
93.14791870117188,Sembrich, the Grand Opera star, Mme.
90.76164245605469,I knew it perfectly well.
112.02193450927734,That Bret Harte died in San Francisco.
82.72087860107422,They embody a pitiful romance.
111.86015319824219,He is frank and outspoken.
88.32516479492188,Ours is a terrible religion.
82.875732421875,Miller of the Vladimir Regiment.
107.03350067138672,Sometimes—but only for a little while.
110.27176666259766,The real character rests upon proof—proof unassailable.
99.12960815429688,The situation is unthinkably grotesque.
112.42765808105469,Then there came a sudden interruption.
91.17440032958984,It made a fat letter.
108.05896759033203,The work was well done.
83.48635864257812,14 14 13 14 in the blatherskite gallery.
89.8126449584961,Wednesday, Dictated August 8, 1906.
86.28497314453125,Sincerely yours, S. L. Clemens.
65.02800750732422,Elmira, N.Y. July 23, 1906.
143.976318359375,To my mind, the incomparable Jungle Books must remain unfellowed permanently.
104.24785614013672,I thought I would give it a trial.
90.888671875,I arrived in the evening.
74.4219970703125,With great respt C. H. Higbie.
61.24758529663086,Providence Providence “Providence R. I.
97.19513702392578,This is always a mistake.
97.09426879882812,Yesterday I appointed a couple of pupils—Messrs.
109.8572998046875,Its The donkey’s name was Cadichon.
83.18756103515625,Tuesday Dictated, Sept. 4 1906.
75.70967102050781,Quarry Farm, July 7, 1884.
99.54534149169922,Austria, half a generation ago.
73.46260833740234,Register, Springfield, Ill., Sept. 4, 1906.
91.57732391357422,The expedition was a failure.
85.08650207519531,Wednesday, Dictated Oct. 3, 1906.
95.81932067871094,ever seen in a year.
92.59959411621094,Very truly yours, Anne W. Stockbridge.
89.05209350585938,Monday Dictated, October 8, 1906.
100.270263671875,Tuesday, October Dictated October 9, 1906.
38.888858795166016,□ M. T., Oct., ’06.
104.80757141113281,“Who is that?” I asked.
88.76371002197266,[Friday, October 2, 1906] placed before ‘.
93.90040588378906,George* footnote: *The colored butler.
102.0363540649414,Jim never could enjoy wasps.
90.67959594726562,Here comes James Russell Lowell.
91.51910400390625,7 November 1906 Wednesday, November 7, 1906 Simplified Spelling.
94.49339294433594,[¶] I have Ever since .
98.6982421875,Very well, I got it.
93.14006805419922,This was a pension system.
93.67247772216797,I was like the rest.
62.816253662109375,[¶] Papa Feb. 12, ’86.
111.25492858886719,However, I did not convince Dr. Holmes.
82.06343078613281,Lord Thwing suggested real estate.
79.3299560546875,‖ [¶] The Minstrel Show continued.
77.94366455078125,1 December 1906 December 1, 1906 December 1, 1906 Autob.
68.32418060302734,Charles L. Webster, 1884 (MTBus, facing 154).
76.6220703125,I played that master card.
58.19557571411133,Dec. 3, 1906 Dec. 3, 1906.
102.42677307128906,Special Cable Despatch to The Sun.
84.7122573852539,Dictated Thursday, Dec. 6, 1906.
102.15128326416016,I don’t know the date myself.
85.6801528930664,Dictated Monday, Dec. 17, 1906.
99.44577026367188,The colored servant was Neal.
88.80552673339844,Whence comes this enduring literature?
92.49473571777344,Dictated Thursday, Dec.ember 20, 1906.
67.01688385009766,[¶] The March 23, ’86.
79.93267822265625,* footnote: footnote * Feb. 10, 1907.
100.40443420410156,Take a case of insomnia, for instance.
88.01426696777344,Every drop that falls, hurts.
112.08428955078125,The Convention’s labors were nearly finished.
78.34183502197266,Reverend [¶] Reverend [¶] Rev.
47.51113510131836,January 9, 1907 1907 ’07.
96.69015502929688,And I suppose that’s all right.
77.5455322265625,Helen’s [¶] Helen’s ¶Helen’s talk sparkles.
91.60214233398438,George made failure after failure.
105.03177642822266,That officer was good pluck.
0.0,2. a. a. a. a.
87.12757110595703,I am telling the truth.
115.97643280029297,It seemed to be a family Bible.
37.37648010253906,—— ——, Nov. 29 1903.
89.10546875,I joined them and assisted.
85.832763671875,Dictated Monday, Feb. 11, 1907.
87.4806137084961,[Dictated Tuesday, February 12, 1907.]
103.2301254272461,I was a member of the Lotos.
79.22116088867188,BOLT WRECKS 18 HOUR TRAIN.
86.18211364746094,The maidservant showed fine courage.
84.05171966552734,answer, and enclosed a prepaid blank.
97.04383850097656,Sensitive stomachs instinctively rose against him.
88.18098449707031,Thomas K., Reverend Reverend Rev.
116.42790222167969,[¶] He paragraph break deleted contrived one.
97.04388427734375,rob and starve my daughters.
98.91435241699219,I thought I would sell out.
77.51541137695312,[¶] Some Thursday, March 28, 1907.
97.07144927978516,Mark G. McElhinney McElhinney McElhinney [paraph] McElhimey.
85.6686782836914,It didn’t start a hair.
107.27796936035156,I append an extract from it.
95.8002700805664,Am I describing a male Miss Nancy?
94.71727752685547,It is a noble forbearance, indeed!
80.18119049072266,signature handwritten John A. Kirlicks.
136.75682067871094,Of course I accepted, and without any waste of time.
89.08857727050781,Tuxedo Park is ideally situated.
102.75306701660156,That was enough for Jim.
91.04234313964844,Very sincerely yours, W. J. Long.” SECY.
107.4903335571289,I accept the raven’s work, and admire it.
107.59685516357422,Charley played a violin solo to admiration, and astonished everybody.
92.20201110839844,A. Pease, M.P., Sir Frederick Pollock, the Hon.
93.7226791381836,In [Dictated July 26, 1907.]
75.6725082397461,VISIT OF JAMES I. a.d. 1605.
98.26022338867188,I can never forget it.
111.94220733642578,With me for a text, of course.
106.7685775756836,It was a very pleasant surprise.
107.01848602294922,Mr. Hornblower, a celebrated advocate, followed Gilder.
73.33550262451172,Present conditions exhibit curious anomalies.
85.09278106689453,Moberly Bell.” “Wednesday July 3.
107.72454833984375,Damn the place, I remember it well!
76.59783172607422,help, but distinctly a hindrance.
78.42964172363281,Birds of a feather, etc.
90.49533081054688,Sir Mortimer Durand still remains unconvinced.
89.66632080078125,I mean to remember this.
81.20624542236328,Tuxedo Park Park Park Park.
103.58430480957031,I can find no other.
96.44364929199219,Sir William is a spiritualist.
105.46099090576172,So did the English press.
88.52210235595703,Between the Mississippi shores, Theodore!
90.06529235839844,either of the countries concerned.
120.64848327636719,Let us get back to England.
82.38336944580078,I like these large attentions.
96.94216918945312,Presently a dog came loafing along.
113.17976379394531,“Yes,” said Porter, “I’ll cable it.
86.42872619628906,And it’s only a translation.
81.74243927001953,BIG GANG ROBBING EUROPE’S CHURCHES.
82.59086608886719,Flora Ann Baxter married a Hogadorn.
96.9046401977539,It is a world event.
101.6571273803711,If it was a cow.
106.69775390625,25 October 1907 Dictated Dictated Dic.
89.20092010498047,centered Result of Rate Law.
109.90086364746094,He looks incredibly small—almost unthinkably small.
111.86396026611328,O Carnegie, O prisoner at the bar, reform, reform!
115.26419830322266,It was a startling and light-throwing incident.
108.89962768554688,I already know you did.
134.3118438720703,My collection consists of gems of the first water.
100.80882263183594,She drove and I superintended.
98.33814239501953,The picture was notably successful.
93.06929779052734,The illustrious Caruso was present.
128.6224822998047,Upon the latter occasion I came near to making a regrettable blunder.
89.92914581298828,Indeed I meant it so.
83.68234252929688,Awaiting further disclosures and trial.
