source,work_title,edition_title,metric,value,compared_against,filename,filepath
ia,Adventures of Huckleberry Finn,ia,lexical_validity,96.95480377906813,N/A,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/
ia,Adventures of Huckleberry Finn,ia,metadata_sufficiency,91.19496855345912,N/A,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/metadata/
ia,Adventures of Huckleberry Finn,adventureshuckle00twaiiala-HuckFinn,record_counts_to_control,67.1841842223469,mtpo,adventureshuckle00twaiiala-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/adventureshuckle00twaiiala-HuckFinn.json
ia,Adventures of Huckleberry Finn,adventuresofhuc00twai-HuckFinn,record_counts_to_control,69.47530882148739,mtpo,adventuresofhuc00twai-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/adventuresofhuc00twai-HuckFinn.json
ia,Adventures of Huckleberry Finn,adventuresofhuck00twai_9-HuckFinn,record_counts_to_control,68.36352858999844,mtpo,adventuresofhuck00twai_9-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/adventuresofhuck00twai_9-HuckFinn.json
ia,Adventures of Huckleberry Finn,adventuresofhuck00twaiiala-HuckFinn,record_counts_to_control,34.83688233703567,mtpo,adventuresofhuck00twaiiala-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/adventuresofhuck00twaiiala-HuckFinn.json
ia,Adventures of Huckleberry Finn,adventuresofhuck00twaiuoft-HuckFinn,record_counts_to_control,66.58840665933347,mtpo,adventuresofhuck00twaiuoft-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/adventuresofhuck00twaiuoft-HuckFinn.json
ia,Adventures of Huckleberry Finn,adventuresofhuck1904twai-HuckFinn,record_counts_to_control,67.32198449490821,mtpo,adventuresofhuck1904twai-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/adventuresofhuck1904twai-HuckFinn.json
ia,Adventures of Huckleberry Finn,cihm_50160-HuckFinn,record_counts_to_control,61.94996166515635,mtpo,cihm_50160-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/cihm_50160-HuckFinn.json
ia,Adventures of Huckleberry Finn,dli.ernet.14052-HuckFinn,record_counts_to_control,67.97078696188673,mtpo,dli.ernet.14052-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/dli.ernet.14052-HuckFinn.json
ia,Adventures of Huckleberry Finn,dli.ernet.235649-HuckFinn,record_counts_to_control,46.806614476627615,mtpo,dli.ernet.235649-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/dli.ernet.235649-HuckFinn.json
ia,Adventures of Huckleberry Finn,dli.ernet.470159-HuckFinn,record_counts_to_control,69.21844448221384,mtpo,dli.ernet.470159-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/dli.ernet.470159-HuckFinn.json
ia,Adventures of Huckleberry Finn,ia,record_counts_to_control,61.971610271099465,mtpo,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/internet_archive/txt/demarcated/complete/json/
Overall Quality:,71.31460127836826
pg,Adventures of Huckleberry Finn,pg,lexical_validity,99.09836890391826,N/A,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/project_gutenberg/json/
pg,Adventures of Huckleberry Finn,pg,metadata_sufficiency,83.33333333333333,N/A,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/project_gutenberg/metadata/
pg,Adventures of Huckleberry Finn,2011-05-03-HuckFinn,record_counts_to_control,72.39998303019163,mtpo,2011-05-03-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/project_gutenberg/json/2011-05-03-HuckFinn.json
pg,Adventures of Huckleberry Finn,2016-08-17-HuckFinn,record_counts_to_control,75.16209679522002,mtpo,2016-08-17-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/project_gutenberg/json/2016-08-17-HuckFinn.json
pg,Adventures of Huckleberry Finn,2021-02-21-HuckFinn,record_counts_to_control,75.33323695848433,mtpo,2021-02-21-HuckFinn.json,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/project_gutenberg/json/2021-02-21-HuckFinn.json
pg,Adventures of Huckleberry Finn,pg,record_counts_to_control,74.29843892796532,mtpo,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/project_gutenberg/json/
Overall Quality:,78.58541080663421
mtpo,Adventures of Huckleberry Finn,mtpo,lexical_validity,98.97310427934545,N/A,,/Users/weirdbeard/Documents/school/aolm_full/data/twain/huckleberry_finn/mtpo/
mtpo,Adventures of Huckleberry Finn,mtpo,metadata_sufficiency,100.0,N/A,,
